County_name,1-2units,+3units,CSA,CSA_name,STCO
Newton,4568,88,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13217
Oconee,2744,64,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13219
Oglethorpe,368,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13221
Paulding,13296,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13223
Pickens,1056,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13227
Pike,680,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13231
Polk,488,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13233
Rockdale,2080,160,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13247
Spalding,1936,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13255
Troup,1216,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13285
Upson,152,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13293
Walton,4792,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13297
Bureau,160,0,176,"Chicago-Naperville, IL-IN-WI",17011
DeKalb,720,96,176,"Chicago-Naperville, IL-IN-WI",17037
DuPage,8144,7448,176,"Chicago-Naperville, IL-IN-WI",17043
Grundy,560,1064,176,"Chicago-Naperville, IL-IN-WI",17063
Kane,7864,8024,176,"Chicago-Naperville, IL-IN-WI",17089
Kankakee,704,880,176,"Chicago-Naperville, IL-IN-WI",17091
Kendall,1888,504,176,"Chicago-Naperville, IL-IN-WI",17093
Lake,5704,8000,176,"Chicago-Naperville, IL-IN-WI",17097
LaSalle,800,24,176,"Chicago-Naperville, IL-IN-WI",17099
McHenry,2480,1408,176,"Chicago-Naperville, IL-IN-WI",17111
Putnam,120,0,176,"Chicago-Naperville, IL-IN-WI",17155
Will,9928,1168,176,"Chicago-Naperville, IL-IN-WI",17197
Jasper,672,0,176,"Chicago-Naperville, IL-IN-WI",18073
Lake,10880,312,176,"Chicago-Naperville, IL-IN-WI",18089
LaPorte,1208,48,176,"Chicago-Naperville, IL-IN-WI",18091
Newton,152,0,176,"Chicago-Naperville, IL-IN-WI",18111
Porter,4216,1464,176,"Chicago-Naperville, IL-IN-WI",18127
Anne Arundel,14680,4568,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24003
Baltimore,7776,3232,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24005
Calvert,2104,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24009
Carroll,2496,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24013
Cecil,792,0,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",24015
Charles,5456,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24017
Dorchester,344,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24019
Frederick,12592,2552,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24021
Harford,5664,1424,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24025
Howard,6536,3216,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24027
Montgomery,8816,4280,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24031
Prince George's,13712,7232,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24033
Queen Anne's,1624,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24035
St. Mary's,9312,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24037
Talbot,592,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24041
Washington,1984,480,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24043
Baltimore,1352,2152,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24510
Barnstable,3992,2976,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25001
Bristol,6344,512,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25005
Essex,5824,3376,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25009
Middlesex,13112,16344,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25017
Norfolk,5864,8048,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25021
Plymouth,8944,2672,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25023
Suffolk,1344,40536,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25025
Worcester,9672,3400,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25027
Genesee,3312,160,220,"Detroit-Warren-Ann Arbor, MI",26049
Lapeer,1256,64,220,"Detroit-Warren-Ann Arbor, MI",26087
Lenawee,840,0,220,"Detroit-Warren-Ann Arbor, MI",26091
Livingston,5336,1272,220,"Detroit-Warren-Ann Arbor, MI",26093
Macomb,15304,5040,220,"Detroit-Warren-Ann Arbor, MI",26099
Monroe,2448,1152,220,"Detroit-Warren-Ann Arbor, MI",26115
Oakland,21984,7672,220,"Detroit-Warren-Ann Arbor, MI",26125
St. Clair,1784,768,220,"Detroit-Warren-Ann Arbor, MI",26147
Washtenaw,4760,496,220,"Detroit-Warren-Ann Arbor, MI",26161
Wayne,9424,10808,220,"Detroit-Warren-Ann Arbor, MI",26163
Anoka,8392,2864,378,"Minneapolis-St. Paul, MN-WI",27003
Benton,760,0,378,"Minneapolis-St. Paul, MN-WI",27009
Carver,5056,96,378,"Minneapolis-St. Paul, MN-WI",27019
Chisago,1912,0,378,"Minneapolis-St. Paul, MN-WI",27025
Dakota,9480,7736,378,"Minneapolis-St. Paul, MN-WI",27037
Goodhue,776,0,378,"Minneapolis-St. Paul, MN-WI",27049
Hennepin,15584,27168,378,"Minneapolis-St. Paul, MN-WI",27053
Isanti,2160,0,378,"Minneapolis-St. Paul, MN-WI",27059
Le Sueur,632,0,378,"Minneapolis-St. Paul, MN-WI",27079
McLeod,448,464,378,"Minneapolis-St. Paul, MN-WI",27085
Mille Lacs,512,0,378,"Minneapolis-St. Paul, MN-WI",27095
Ramsey,1776,3400,378,"Minneapolis-St. Paul, MN-WI",27123
Rice,1376,0,378,"Minneapolis-St. Paul, MN-WI",27131
Scott,4512,3960,378,"Minneapolis-St. Paul, MN-WI",27139
Sherburne,3576,32,378,"Minneapolis-St. Paul, MN-WI",27141
Sibley,168,32,378,"Minneapolis-St. Paul, MN-WI",27143
Stearns,3384,2408,378,"Minneapolis-St. Paul, MN-WI",27145
Washington,6488,4136,378,"Minneapolis-St. Paul, MN-WI",27163
Wright,5816,32,378,"Minneapolis-St. Paul, MN-WI",27171
Belknap,1456,0,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33001
Hillsborough,6024,2240,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33011
Merrimack,2312,0,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33013
Rockingham,5432,2400,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33015
Strafford,2992,1168,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33017
Atlantic,2448,6272,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34001
Bergen,8072,15936,408,"New York-Newark, NY-NJ-CT-PA",34003
Burlington,6248,2816,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34005
Camden,1568,9632,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34007
Cape May,5824,648,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34009
Cumberland,704,0,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34011
Essex,3368,15168,408,"New York-Newark, NY-NJ-CT-PA",34013
Gloucester,3144,2744,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34015
Hudson,3128,37456,408,"New York-Newark, NY-NJ-CT-PA",34017
Hunterdon,1216,1080,408,"New York-Newark, NY-NJ-CT-PA",34019
Mercer,1232,3608,408,"New York-Newark, NY-NJ-CT-PA",34021
Middlesex,6488,15352,408,"New York-Newark, NY-NJ-CT-PA",34023
Monmouth,7120,4672,408,"New York-Newark, NY-NJ-CT-PA",34025
Morris,5296,7888,408,"New York-Newark, NY-NJ-CT-PA",34027
Ocean,22680,4736,408,"New York-Newark, NY-NJ-CT-PA",34029
Passaic,1456,3088,408,"New York-Newark, NY-NJ-CT-PA",34031
Salem,320,0,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34033
Somerset,2768,3072,408,"New York-Newark, NY-NJ-CT-PA",34035
Sussex,592,256,408,"New York-Newark, NY-NJ-CT-PA",34037
Union,3464,5216,408,"New York-Newark, NY-NJ-CT-PA",34039
Warren,496,736,408,"New York-Newark, NY-NJ-CT-PA",34041
Bronx,568,42640,408,"New York-Newark, NY-NJ-CT-PA",36005
Dutchess,2064,1848,408,"New York-Newark, NY-NJ-CT-PA",36027
Kings,2000,47040,408,"New York-Newark, NY-NJ-CT-PA",36047
Nassau,7608,4288,408,"New York-Newark, NY-NJ-CT-PA",36059
New York,112,38136,408,"New York-Newark, NY-NJ-CT-PA",36061
Orange,4592,3576,408,"New York-Newark, NY-NJ-CT-PA",36071
Putnam,288,120,408,"New York-Newark, NY-NJ-CT-PA",36079
Queens,4312,36520,408,"New York-Newark, NY-NJ-CT-PA",36081
Richmond,5368,112,408,"New York-Newark, NY-NJ-CT-PA",36085
Rockland,1272,3464,408,"New York-Newark, NY-NJ-CT-PA",36087
Suffolk,6896,2208,408,"New York-Newark, NY-NJ-CT-PA",36103
Sullivan,2320,24,408,"New York-Newark, NY-NJ-CT-PA",36105
Ulster,1672,1016,408,"New York-Newark, NY-NJ-CT-PA",36111
Westchester,2928,6408,408,"New York-Newark, NY-NJ-CT-PA",36119
Bryan,624,184,206,"Dallas-Fort Worth, TX-OK",40013
Berks,3288,0,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42011
Bucks,7496,384,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42017
Chester,9712,248,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42029
Delaware,3288,1360,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42045
Franklin,2800,496,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",42055
Montgomery,9096,7440,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42091
Philadelphia,8200,18912,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42101
Bristol,336,0,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44001
Kent,1352,48,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44003
Newport,1200,24,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44005
Providence,3152,96,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44007
Washington,2224,792,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44009
Austin,272,0,288,"Houston-The Woodlands, TX",48015
Brazoria,25072,32,288,"Houston-The Woodlands, TX",48039
Chambers,4208,0,288,"Houston-The Woodlands, TX",48071
Collin,76104,42072,206,"Dallas-Fort Worth, TX-OK",48085
Cooke,560,0,206,"Dallas-Fort Worth, TX-OK",48097
Dallas,40832,114592,206,"Dallas-Fort Worth, TX-OK",48113
Denton,53352,12928,206,"Dallas-Fort Worth, TX-OK",48121
Ellis,15736,2488,206,"Dallas-Fort Worth, TX-OK",48139
Fort Bend,62072,344,288,"Houston-The Woodlands, TX",48157
Galveston,16776,256,288,"Houston-The Woodlands, TX",48167
Grayson,5376,1368,206,"Dallas-Fort Worth, TX-OK",48181
Harris,136960,45584,288,"Houston-The Woodlands, TX",48201
Henderson,760,0,206,"Dallas-Fort Worth, TX-OK",48213
Hood,1456,88,206,"Dallas-Fort Worth, TX-OK",48221
Hopkins,168,64,206,"Dallas-Fort Worth, TX-OK",48223
Hunt,1552,0,206,"Dallas-Fort Worth, TX-OK",48231
Johnson,4880,32,206,"Dallas-Fort Worth, TX-OK",48251
Kaufman,7272,2696,206,"Dallas-Fort Worth, TX-OK",48257
Liberty,4368,0,288,"Houston-The Woodlands, TX",48291
Matagorda,1128,96,288,"Houston-The Woodlands, TX",48321
Montgomery,42352,0,288,"Houston-The Woodlands, TX",48339
Navarro,2024,24,206,"Dallas-Fort Worth, TX-OK",48349
Palo Pinto,32,0,206,"Dallas-Fort Worth, TX-OK",48363
Parker,3720,0,206,"Dallas-Fort Worth, TX-OK",48367
Rockwall,11760,1824,206,"Dallas-Fort Worth, TX-OK",48397
Somervell,112,0,206,"Dallas-Fort Worth, TX-OK",48425
Tarrant,61744,44272,206,"Dallas-Fort Worth, TX-OK",48439
Trinity,8,0,288,"Houston-The Woodlands, TX",48455
Walker,1456,1968,288,"Houston-The Woodlands, TX",48471
Waller,288,576,288,"Houston-The Woodlands, TX",48473
Washington,664,1192,288,"Houston-The Woodlands, TX",48477
Wharton,624,0,288,"Houston-The Woodlands, TX",48481
Wise,680,0,206,"Dallas-Fort Worth, TX-OK",48497
Arlington,1472,21600,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51013
Clarke,424,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51043
Culpeper,1576,1056,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51047
Fairfax,8272,7440,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51059
Fauquier,3040,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51061
Frederick,4528,760,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51069
Loudoun,20768,9344,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51107
Prince William,11656,832,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51153
Rappahannock,168,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51157
Spotsylvania,5512,2160,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51177
Stafford,9816,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51179
Warren,1448,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51187
Alexandria,1192,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51510
Fairfax,272,240,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51600
Falls Church,176,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51610
Fredericksburg,512,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51630
Manassas,320,1592,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51683
Manassas Park,0,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51685
Winchester,144,1216,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51840
Island,3224,40,500,"Seattle-Tacoma, WA",53029
King,37632,111496,500,"Seattle-Tacoma, WA",53033
Kitsap,7648,1104,500,"Seattle-Tacoma, WA",53035
Lewis,1808,64,500,"Seattle-Tacoma, WA",53041
Mason,1696,0,500,"Seattle-Tacoma, WA",53045
Pierce,24480,15264,500,"Seattle-Tacoma, WA",53053
Skagit,4416,888,500,"Seattle-Tacoma, WA",53057
Snohomish,21624,8176,500,"Seattle-Tacoma, WA",53061
Thurston,7600,936,500,"Seattle-Tacoma, WA",53067
Berkeley,7400,192,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54003
Hampshire,456,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54027
Jefferson,2192,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54037
Kenosha,1600,0,176,"Chicago-Naperville, IL-IN-WI",55059
Pierce,1088,0,378,"Minneapolis-St. Paul, MN-WI",55093
St. Croix,4128,64,378,"Minneapolis-St. Paul, MN-WI",55109
