County_name,1-2units,+3units,CSA,CSA_name,STCO
Gordon,538,139,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13129
Gwinnett,20241,2878,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13135
Hall,5118,758,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13139
Haralson,213,30,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13143
Heard,134,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13149
Henry,6563,190,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13151
Jackson,3318,184,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13157
Jasper,395,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13159
Lamar,204,64,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13171
Madison,330,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13195
Meriwether,235,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13199
Morgan,461,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13211
Newton,1585,50,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13217
Oconee,2205,127,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13219
Oglethorpe,257,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13221
Paulding,6120,55,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13223
Pickens,531,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13227
Pike,286,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13231
Polk,295,134,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13233
Rockdale,918,20,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13247
Spalding,1202,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13255
Troup,894,60,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13285
Upson,135,48,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13293
Walton,2198,0,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",13297
Bureau,148,43,176,"Chicago-Naperville, IL-IN-WI",17011
DeKalb,490,52,176,"Chicago-Naperville, IL-IN-WI",17037
DuPage,7126,2485,176,"Chicago-Naperville, IL-IN-WI",17043
Grundy,506,786,176,"Chicago-Naperville, IL-IN-WI",17063
Kane,7231,2366,176,"Chicago-Naperville, IL-IN-WI",17089
Kankakee,677,140,176,"Chicago-Naperville, IL-IN-WI",17091
Kendall,1714,184,176,"Chicago-Naperville, IL-IN-WI",17093
Lake,4600,2531,176,"Chicago-Naperville, IL-IN-WI",17097
LaSalle,575,229,176,"Chicago-Naperville, IL-IN-WI",17099
McHenry,2642,1326,176,"Chicago-Naperville, IL-IN-WI",17111
Putnam,122,0,176,"Chicago-Naperville, IL-IN-WI",17155
Will,7342,1430,176,"Chicago-Naperville, IL-IN-WI",17197
Jasper,554,10,176,"Chicago-Naperville, IL-IN-WI",18073
Lake,6665,1020,176,"Chicago-Naperville, IL-IN-WI",18089
LaPorte,959,380,176,"Chicago-Naperville, IL-IN-WI",18091
Newton,131,0,176,"Chicago-Naperville, IL-IN-WI",18111
Porter,2895,835,176,"Chicago-Naperville, IL-IN-WI",18127
Anne Arundel,10903,6511,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24003
Baltimore,5890,2609,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24005
Calvert,1981,5,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24009
Carroll,2242,160,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24013
Cecil,1412,746,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",24015
Charles,5769,1141,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24017
Dorchester,319,191,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24019
Frederick,6867,3353,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24021
Harford,4787,1978,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24025
Howard,8112,4581,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24027
Montgomery,10591,11041,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24031
Prince George's,9744,2046,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24033
Queen Anne's,1356,77,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24035
St. Mary's,5974,291,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24037
Talbot,968,40,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24041
Washington,1680,364,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24043
Baltimore,1499,5341,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24510
Barnstable,3692,906,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25001
Bristol,4928,1569,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25005
Essex,5555,2857,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25009
Middlesex,12666,14552,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25017
Norfolk,5567,5600,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25021
Plymouth,6912,1943,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25023
Suffolk,1089,22526,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25025
Worcester,8644,1690,148,"Boston-Worcester-Providence, MA-RI-NH-CT",25027
Genesee,1869,188,220,"Detroit-Warren-Ann Arbor, MI",26049
Lapeer,704,16,220,"Detroit-Warren-Ann Arbor, MI",26087
Lenawee,832,0,220,"Detroit-Warren-Ann Arbor, MI",26091
Livingston,3785,502,220,"Detroit-Warren-Ann Arbor, MI",26093
Macomb,10446,2813,220,"Detroit-Warren-Ann Arbor, MI",26099
Monroe,1632,422,220,"Detroit-Warren-Ann Arbor, MI",26115
Oakland,15744,3375,220,"Detroit-Warren-Ann Arbor, MI",26125
St. Clair,947,113,220,"Detroit-Warren-Ann Arbor, MI",26147
Washtenaw,2989,975,220,"Detroit-Warren-Ann Arbor, MI",26161
Wayne,6378,3977,220,"Detroit-Warren-Ann Arbor, MI",26163
Anoka,6080,1256,378,"Minneapolis-St. Paul, MN-WI",27003
Benton,583,370,378,"Minneapolis-St. Paul, MN-WI",27009
Carver,4111,424,378,"Minneapolis-St. Paul, MN-WI",27019
Chisago,1139,24,378,"Minneapolis-St. Paul, MN-WI",27025
Dakota,6958,2533,378,"Minneapolis-St. Paul, MN-WI",27037
Goodhue,513,60,378,"Minneapolis-St. Paul, MN-WI",27049
Hennepin,11726,23037,378,"Minneapolis-St. Paul, MN-WI",27053
Isanti,882,139,378,"Minneapolis-St. Paul, MN-WI",27059
Le Sueur,398,0,378,"Minneapolis-St. Paul, MN-WI",27079
McLeod,274,58,378,"Minneapolis-St. Paul, MN-WI",27085
Mille Lacs,311,12,378,"Minneapolis-St. Paul, MN-WI",27095
Ramsey,1659,4404,378,"Minneapolis-St. Paul, MN-WI",27123
Rice,798,113,378,"Minneapolis-St. Paul, MN-WI",27131
Scott,3938,1166,378,"Minneapolis-St. Paul, MN-WI",27139
Sherburne,1878,141,378,"Minneapolis-St. Paul, MN-WI",27141
Sibley,107,12,378,"Minneapolis-St. Paul, MN-WI",27143
Stearns,2441,1818,378,"Minneapolis-St. Paul, MN-WI",27145
Washington,5383,2189,378,"Minneapolis-St. Paul, MN-WI",27163
Wright,3711,95,378,"Minneapolis-St. Paul, MN-WI",27171
Belknap,1286,262,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33001
Hillsborough,4205,2385,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33011
Merrimack,1641,249,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33013
Rockingham,5155,1538,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33015
Strafford,2028,759,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33017
Atlantic,2998,2434,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34001
Bergen,7683,12706,408,"New York-Newark, NY-NJ-CT-PA",34003
Burlington,4180,2460,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34005
Camden,2169,5685,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34007
Cape May,4454,284,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34009
Cumberland,1383,125,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34011
Essex,2987,11582,408,"New York-Newark, NY-NJ-CT-PA",34013
Gloucester,3849,1624,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34015
Hudson,2249,25364,408,"New York-Newark, NY-NJ-CT-PA",34017
Hunterdon,1185,1169,408,"New York-Newark, NY-NJ-CT-PA",34019
Mercer,1580,3487,408,"New York-Newark, NY-NJ-CT-PA",34021
Middlesex,6561,9163,408,"New York-Newark, NY-NJ-CT-PA",34023
Monmouth,6848,3918,408,"New York-Newark, NY-NJ-CT-PA",34025
Morris,4731,6134,408,"New York-Newark, NY-NJ-CT-PA",34027
Ocean,14551,2616,408,"New York-Newark, NY-NJ-CT-PA",34029
Passaic,1468,2696,408,"New York-Newark, NY-NJ-CT-PA",34031
Salem,403,67,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34033
Somerset,3621,4651,408,"New York-Newark, NY-NJ-CT-PA",34035
Sussex,1139,485,408,"New York-Newark, NY-NJ-CT-PA",34037
Union,3224,6942,408,"New York-Newark, NY-NJ-CT-PA",34039
Warren,1173,616,408,"New York-Newark, NY-NJ-CT-PA",34041
Bronx,603,22738,408,"New York-Newark, NY-NJ-CT-PA",36005
Dutchess,2216,767,408,"New York-Newark, NY-NJ-CT-PA",36027
Kings,1346,55972,408,"New York-Newark, NY-NJ-CT-PA",36047
Nassau,4580,2460,408,"New York-Newark, NY-NJ-CT-PA",36059
New York,69,36806,408,"New York-Newark, NY-NJ-CT-PA",36061
Orange,3739,4000,408,"New York-Newark, NY-NJ-CT-PA",36071
Putnam,398,212,408,"New York-Newark, NY-NJ-CT-PA",36079
Queens,3999,31650,408,"New York-Newark, NY-NJ-CT-PA",36081
Richmond,4376,1425,408,"New York-Newark, NY-NJ-CT-PA",36085
Rockland,1106,1972,408,"New York-Newark, NY-NJ-CT-PA",36087
Suffolk,7645,1253,408,"New York-Newark, NY-NJ-CT-PA",36103
Sullivan,1885,100,408,"New York-Newark, NY-NJ-CT-PA",36105
Ulster,1283,830,408,"New York-Newark, NY-NJ-CT-PA",36111
Westchester,2216,4273,408,"New York-Newark, NY-NJ-CT-PA",36119
Bryan,620,60,206,"Dallas-Fort Worth, TX-OK",40013
Berks,2658,573,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42011
Bucks,5811,649,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42017
Chester,7481,2135,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42029
Delaware,2483,292,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42045
Franklin,2347,434,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",42055
Montgomery,7774,4001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42091
Philadelphia,6859,14870,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42101
Bristol,300,0,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44001
Kent,965,189,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44003
Newport,939,93,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44005
Providence,2499,256,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44007
Washington,2069,312,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44009
Austin,191,6,288,"Houston-The Woodlands, TX",48015
Brazoria,18585,2690,288,"Houston-The Woodlands, TX",48039
Chambers,2564,0,288,"Houston-The Woodlands, TX",48071
Collin,53205,26448,206,"Dallas-Fort Worth, TX-OK",48085
Cooke,301,0,206,"Dallas-Fort Worth, TX-OK",48097
Dallas,31822,82464,206,"Dallas-Fort Worth, TX-OK",48113
Denton,30033,10177,206,"Dallas-Fort Worth, TX-OK",48121
Ellis,8367,640,206,"Dallas-Fort Worth, TX-OK",48139
Fort Bend,59403,3634,288,"Houston-The Woodlands, TX",48157
Galveston,16830,960,288,"Houston-The Woodlands, TX",48167
Grayson,2052,974,206,"Dallas-Fort Worth, TX-OK",48181
Harris,122247,87796,288,"Houston-The Woodlands, TX",48201
Henderson,575,70,206,"Dallas-Fort Worth, TX-OK",48213
Hood,998,69,206,"Dallas-Fort Worth, TX-OK",48221
Hopkins,104,168,206,"Dallas-Fort Worth, TX-OK",48223
Hunt,684,26,206,"Dallas-Fort Worth, TX-OK",48231
Johnson,4606,1342,206,"Dallas-Fort Worth, TX-OK",48251
Kaufman,2701,654,206,"Dallas-Fort Worth, TX-OK",48257
Liberty,2405,76,288,"Houston-The Woodlands, TX",48291
Matagorda,842,12,288,"Houston-The Woodlands, TX",48321
Montgomery,33934,8873,288,"Houston-The Woodlands, TX",48339
Navarro,634,108,206,"Dallas-Fort Worth, TX-OK",48349
Palo Pinto,69,80,206,"Dallas-Fort Worth, TX-OK",48363
Parker,2579,186,206,"Dallas-Fort Worth, TX-OK",48367
Rockwall,6913,470,206,"Dallas-Fort Worth, TX-OK",48397
Somervell,82,18,206,"Dallas-Fort Worth, TX-OK",48425
Tarrant,43173,26615,206,"Dallas-Fort Worth, TX-OK",48439
Trinity,28,0,288,"Houston-The Woodlands, TX",48455
Walker,969,802,288,"Houston-The Woodlands, TX",48471
Waller,90,815,288,"Houston-The Woodlands, TX",48473
Washington,482,241,288,"Houston-The Woodlands, TX",48477
Wharton,374,0,288,"Houston-The Woodlands, TX",48481
Wise,431,4,206,"Dallas-Fort Worth, TX-OK",48497
Arlington,1881,11690,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51013
Clarke,280,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51043
Culpeper,1412,132,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51047
Fairfax,6792,6962,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51059
Fauquier,1896,30,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51061
Frederick,3424,385,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51069
Loudoun,21335,6629,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51107
Prince William,11046,3419,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51153
Rappahannock,167,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51157
Spotsylvania,3038,270,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51177
Stafford,6850,6,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51179
Warren,787,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51187
Alexandria,1200,4534,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51510
Fairfax,484,126,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51600
Falls Church,178,510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51610
Fredericksburg,565,913,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51630
Manassas,752,199,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51683
Manassas Park,48,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51685
Winchester,158,214,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51840
Island,2091,5,500,"Seattle-Tacoma, WA",53029
King,32421,73213,500,"Seattle-Tacoma, WA",53033
Kitsap,5430,1119,500,"Seattle-Tacoma, WA",53035
Lewis,1102,170,500,"Seattle-Tacoma, WA",53041
Mason,1112,15,500,"Seattle-Tacoma, WA",53045
Pierce,18069,7275,500,"Seattle-Tacoma, WA",53053
Skagit,2586,192,500,"Seattle-Tacoma, WA",53057
Snohomish,18220,9039,500,"Seattle-Tacoma, WA",53061
Thurston,7702,1954,500,"Seattle-Tacoma, WA",53067
Berkeley,4541,296,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54003
Hampshire,490,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54027
Jefferson,1503,100,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54037
Kenosha,1316,873,176,"Chicago-Naperville, IL-IN-WI",55059
Pierce,792,64,378,"Minneapolis-St. Paul, MN-WI",55093
St. Croix,2275,229,378,"Minneapolis-St. Paul, MN-WI",55109
