County_name,TotalHousing16,Owners16,renters16,STCO,CSA,CSA_name
Barrow,26902,17461,6539,13013,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bartow,39935,23472,13018,13015,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Butts,9288,5535,2202,13035,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Carroll,44691,25716,14571,13045,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cherokee,85926,62095,18283,13057,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clarke,51868,17301,27600,13059,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clayton,104699,45993,44189,13063,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cobb,293084,173718,98257,13067,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Coweta,52005,35914,13543,13077,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Dawson,10645,6602,1920,13085,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
DeKalb,307255,146154,124749,13089,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Douglas,51891,31228,16306,13097,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fayette,41391,31416,7517,13113,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Forsyth,71466,56003,10497,13117,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fulton,449933,197281,187822,13121,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gordon,22255,12582,7197,13129,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gwinnett,298844,184363,94633,13135,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Hall,69701,41012,21315,13139,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Haralson,12243,7585,3301,13143,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Heard,5105,3093,1271,13149,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Henry,77863,51522,19478,13151,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jackson,23866,16010,5105,13157,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jasper,6236,3764,1390,13159,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Lamar,7515,4464,1823,13171,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Madison,11762,7567,2781,13195,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Meriwether,9879,5325,2657,13199,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Morgan,7520,4976,1672,13211,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Newton,38414,23930,11160,13217,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oconee,13121,9984,2304,13219,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oglethorpe,6488,4263,1460,13221,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Paulding,53398,39269,10748,13223,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pickens,13706,8715,2662,13227,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pike,6816,5058,968,13231,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Polk,16922,9985,4883,13233,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Rockdale,33299,20309,9631,13247,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Spalding,27005,13986,8928,13255,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Troup,28282,14204,10415,13285,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Upson,12114,6744,3334,13293,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Walton,32636,21795,8253,13297,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bureau,15664,10602,3415,17011,176,"Chicago-Naperville, IL-IN-WI"
Cook,2177342,1105168,846438,17031,176,"Chicago-Naperville, IL-IN-WI"
DeKalb,41017,21468,15899,17037,176,"Chicago-Naperville, IL-IN-WI"
DuPage,357549,247155,91832,17043,176,"Chicago-Naperville, IL-IN-WI"
Grundy,20358,13654,4855,17063,176,"Chicago-Naperville, IL-IN-WI"
Kane,184075,127075,46643,17089,176,"Chicago-Naperville, IL-IN-WI"
Kankakee,45182,27873,12607,17091,176,"Chicago-Naperville, IL-IN-WI"
Kendall,41088,32152,7123,17093,176,"Chicago-Naperville, IL-IN-WI"
Lake,261715,178807,64469,17097,176,"Chicago-Naperville, IL-IN-WI"
LaSalle,49871,32241,12127,17099,176,"Chicago-Naperville, IL-IN-WI"
McHenry,117242,86922,23187,17111,176,"Chicago-Naperville, IL-IN-WI"
Putnam,3107,1949,491,17155,176,"Chicago-Naperville, IL-IN-WI"
Will,239953,182341,42618,17197,176,"Chicago-Naperville, IL-IN-WI"
Jasper,13354,9300,2791,18073,176,"Chicago-Naperville, IL-IN-WI"
Lake,210391,126609,57531,18089,176,"Chicago-Naperville, IL-IN-WI"
LaPorte,48752,30572,12480,18091,176,"Chicago-Naperville, IL-IN-WI"
Newton,6026,4112,1370,18111,176,"Chicago-Naperville, IL-IN-WI"
Porter,67065,47915,14514,18127,176,"Chicago-Naperville, IL-IN-WI"
Anne Arundel,219319,151331,53498,24003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,337031,205922,106904,24005,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Calvert,34613,25783,5696,24009,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Carroll,63123,49112,11337,24013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Cecil,42269,26935,10058,24015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Charles,58014,41874,12231,24017,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Dorchester,16700,8628,4578,24019,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,93645,65946,23049,24021,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Harford,98277,72265,20232,24025,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Howard,115003,80655,29217,24027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,385485,241201,126563,24031,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince George's,330708,189084,117627,24033,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Queen Anne's,20754,14383,3402,24035,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
St. Mary's,43276,28033,10945,24037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Talbot,20110,11454,5027,24041,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Washington,61199,36204,19890,24043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,296923,112849,129567,24510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Barnstable,161632,74679,19672,25001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Bristol,231247,132218,80715,25005,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Essex,308459,182306,105985,25009,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Middlesex,619399,366548,221187,25017,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Norfolk,273280,178170,81891,25021,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Plymouth,202564,138410,43842,25023,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Suffolk,324390,107263,192395,25025,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Worcester,329285,195877,106917,25027,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Genesee,191033,115243,51001,26049,220,"Detroit-Warren-Ann Arbor, MI"
Lapeer,36217,26929,5828,26087,220,"Detroit-Warren-Ann Arbor, MI"
Lenawee,43456,29398,8458,26091,220,"Detroit-Warren-Ann Arbor, MI"
Livingston,74710,59228,10535,26093,220,"Detroit-Warren-Ann Arbor, MI"
Macomb,361158,247442,91451,26099,220,"Detroit-Warren-Ann Arbor, MI"
Monroe,63376,46588,11928,26115,220,"Detroit-Warren-Ann Arbor, MI"
Oakland,533097,348976,147751,26125,220,"Detroit-Warren-Ann Arbor, MI"
St. Clair,71874,48786,15743,26147,220,"Detroit-Warren-Ann Arbor, MI"
Washtenaw,149284,82693,55979,26161,220,"Detroit-Warren-Ann Arbor, MI"
Wayne,816398,415477,253935,26163,220,"Detroit-Warren-Ann Arbor, MI"
Anoka,129252,100028,25232,27003,378,"Minneapolis-St. Paul, MN-WI"
Benton,16496,10860,4866,27009,378,"Minneapolis-St. Paul, MN-WI"
Carver,36343,27913,7077,27019,378,"Minneapolis-St. Paul, MN-WI"
Chisago,21375,16832,2958,27025,378,"Minneapolis-St. Paul, MN-WI"
Dakota,162614,117132,40564,27037,378,"Minneapolis-St. Paul, MN-WI"
Goodhue,20351,14409,4642,27049,378,"Minneapolis-St. Paul, MN-WI"
Hennepin,520683,307266,186566,27053,378,"Minneapolis-St. Paul, MN-WI"
Isanti,15463,11706,2697,27059,378,"Minneapolis-St. Paul, MN-WI"
Le Sueur,12498,8777,2028,27079,378,"Minneapolis-St. Paul, MN-WI"
McLeod,15726,11387,3393,27085,378,"Minneapolis-St. Paul, MN-WI"
Mille Lacs,12717,7418,2594,27095,378,"Minneapolis-St. Paul, MN-WI"
Ramsey,218080,122386,84941,27123,378,"Minneapolis-St. Paul, MN-WI"
Rice,24564,16795,5859,27131,378,"Minneapolis-St. Paul, MN-WI"
Scott,49260,39103,8051,27139,378,"Minneapolis-St. Paul, MN-WI"
Sherburne,32912,25454,5327,27141,378,"Minneapolis-St. Paul, MN-WI"
Sibley,6547,4698,1311,27143,378,"Minneapolis-St. Paul, MN-WI"
Stearns,62911,39719,17976,27145,378,"Minneapolis-St. Paul, MN-WI"
Washington,95498,73415,17867,27163,378,"Minneapolis-St. Paul, MN-WI"
Wright,49949,37520,8367,27171,378,"Minneapolis-St. Paul, MN-WI"
Belknap,37715,18501,5963,33001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Hillsborough,167606,103116,52998,33011,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Merrimack,63711,40245,16545,33013,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Rockingham,128637,90849,27823,33015,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Strafford,52396,31102,16677,33017,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Atlantic,127617,67793,33290,34001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bergen,354772,218041,119028,34003,408,"New York-Newark, NY-NJ-CT-PA"
Burlington,177623,125666,38957,34005,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Camden,205800,124727,60995,34007,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cape May,98900,30605,9468,34009,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cumberland,56299,32632,18086,34011,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Essex,314384,123300,156180,34013,408,"New York-Newark, NY-NJ-CT-PA"
Gloucester,112106,83145,21617,34015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Hudson,276087,77459,174234,34017,408,"New York-Newark, NY-NJ-CT-PA"
Hunterdon,49875,39122,7813,34019,408,"New York-Newark, NY-NJ-CT-PA"
Mercer,144171,83401,46728,34021,408,"New York-Newark, NY-NJ-CT-PA"
Middlesex,298832,180794,102485,34023,408,"New York-Newark, NY-NJ-CT-PA"
Monmouth,260222,171673,61195,34025,408,"New York-Newark, NY-NJ-CT-PA"
Morris,191081,135369,44365,34027,408,"New York-Newark, NY-NJ-CT-PA"
Ocean,280508,178376,44233,34029,408,"New York-Newark, NY-NJ-CT-PA"
Passaic,176639,85909,75625,34031,408,"New York-Newark, NY-NJ-CT-PA"
Salem,27630,17259,6996,34033,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Somerset,125232,88257,28199,34035,408,"New York-Newark, NY-NJ-CT-PA"
Sussex,62236,44474,9174,34037,408,"New York-Newark, NY-NJ-CT-PA"
Union,201107,109931,76959,34039,408,"New York-Newark, NY-NJ-CT-PA"
Warren,45321,29861,11593,34041,408,"New York-Newark, NY-NJ-CT-PA"
Bronx,522401,93569,397171,36005,408,"New York-Newark, NY-NJ-CT-PA"
Dutchess,119023,73505,33444,36027,408,"New York-Newark, NY-NJ-CT-PA"
Kings,1021747,276447,662356,36047,408,"New York-Newark, NY-NJ-CT-PA"
Nassau,467127,353420,86810,36059,408,"New York-Newark, NY-NJ-CT-PA"
New York,866644,174361,579024,36061,408,"New York-Newark, NY-NJ-CT-PA"
Orange,139757,85306,39838,36071,408,"New York-Newark, NY-NJ-CT-PA"
Putnam,38321,27961,6141,36079,408,"New York-Newark, NY-NJ-CT-PA"
Queens,846689,341363,437941,36081,408,"New York-Newark, NY-NJ-CT-PA"
Richmond,178603,114502,51512,36085,408,"New York-Newark, NY-NJ-CT-PA"
Rockland,104651,68276,30762,36087,408,"New York-Newark, NY-NJ-CT-PA"
Suffolk,570464,389182,100576,36103,408,"New York-Newark, NY-NJ-CT-PA"
Sullivan,49645,18762,9245,36105,408,"New York-Newark, NY-NJ-CT-PA"
Ulster,83762,48343,20992,36111,408,"New York-Newark, NY-NJ-CT-PA"
Westchester,369925,210004,131758,36119,408,"New York-Newark, NY-NJ-CT-PA"
Bryan,19911,10741,5892,40013,206,"Dallas-Fort Worth, TX-OK"
Berks,164853,109472,42979,42011,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bucks,246869,178754,54763,42017,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Chester,195720,140527,46194,42029,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Delaware,221969,141292,62318,42045,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Franklin,64178,42175,17217,42055,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,327785,223629,86255,42091,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Philadelphia,671125,305214,277380,42101,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bristol,20786,13574,5725,44001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,73590,48122,20539,44003,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Newport,41878,21473,13795,44005,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Providence,263549,125723,111736,44007,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Washington,62854,35856,13697,44009,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Austin,13005,8260,2962,48015,288,"Houston-The Woodlands, TX"
Brazoria,126945,81646,32644,48039,288,"Houston-The Woodlands, TX"
Chambers,14440,10436,2531,48071,288,"Houston-The Woodlands, TX"
Collin,329455,208116,106802,48085,206,"Dallas-Fort Worth, TX-OK"
Cooke,16675,10412,4484,48097,206,"Dallas-Fort Worth, TX-OK"
Dallas,975540,452284,442258,48113,206,"Dallas-Fort Worth, TX-OK"
Denton,281136,170389,95401,48121,206,"Dallas-Fort Worth, TX-OK"
Ellis,57235,38847,14956,48139,206,"Dallas-Fort Worth, TX-OK"
Fort Bend,224504,167037,47089,48157,288,"Houston-The Woodlands, TX"
Galveston,140048,76547,39138,48167,288,"Houston-The Woodlands, TX"
Grayson,54395,31785,15376,48181,206,"Dallas-Fort Worth, TX-OK"
Harris,1687657,837912,698347,48201,288,"Houston-The Woodlands, TX"
Henderson,39939,22287,7498,48213,206,"Dallas-Fort Worth, TX-OK"
Hood,25518,16106,4934,48221,206,"Dallas-Fort Worth, TX-OK"
Hopkins,15181,9450,3809,48223,206,"Dallas-Fort Worth, TX-OK"
Hunt,36954,21558,9596,48231,206,"Dallas-Fort Worth, TX-OK"
Johnson,59078,39690,14190,48251,206,"Dallas-Fort Worth, TX-OK"
Kaufman,39273,27275,8464,48257,206,"Dallas-Fort Worth, TX-OK"
Liberty,29609,19193,6418,48291,288,"Houston-The Woodlands, TX"
Matagorda,19069,9167,4499,48321,288,"Houston-The Woodlands, TX"
Montgomery,196210,128765,50822,48339,288,"Houston-The Woodlands, TX"
Navarro,20478,11775,5634,48349,206,"Dallas-Fort Worth, TX-OK"
Palo Pinto,15323,7108,3308,48363,206,"Dallas-Fort Worth, TX-OK"
Parker,47883,33492,9778,48367,206,"Dallas-Fort Worth, TX-OK"
Rockwall,30789,23563,5829,48397,206,"Dallas-Fort Worth, TX-OK"
Somervell,3723,2303,938,48425,206,"Dallas-Fort Worth, TX-OK"
Tarrant,740355,412427,270540,48439,206,"Dallas-Fort Worth, TX-OK"
Trinity,8753,4384,1075,48455,288,"Houston-The Woodlands, TX"
Walker,25003,11134,9561,48471,288,"Houston-The Woodlands, TX"
Waller,16148,9632,4450,48473,288,"Houston-The Woodlands, TX"
Washington,15750,9156,2828,48477,288,"Houston-The Woodlands, TX"
Wharton,17371,10138,4841,48481,288,"Houston-The Woodlands, TX"
Wise,23957,16412,5015,48497,206,"Dallas-Fort Worth, TX-OK"
Arlington,110763,44531,56176,51013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Clarke,6283,4162,1429,51043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Culpeper,18134,12118,4786,51047,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,411072,265351,128007,51059,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fauquier,26241,18660,5230,51061,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,32502,23366,6548,51069,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Loudoun,122490,90656,26417,51107,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince William,144314,98292,39810,51153,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Rappahannock,3950,2412,835,51157,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Spotsylvania,46263,33249,9856,51177,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Stafford,46427,33330,10981,51179,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Warren,16146,10737,3437,51187,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Alexandria,75087,28710,39353,51510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,8801,5992,2484,51600,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Falls Church,5709,3162,2139,51610,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fredericksburg,11387,3575,6696,51630,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas,13385,7727,4703,51683,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas Park,4892,3112,1618,51685,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Winchester,11908,4822,5774,51840,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Island,40711,22416,10972,53029,500,"Seattle-Tacoma, WA"
King,882655,476551,355444,53033,500,"Seattle-Tacoma, WA"
Kitsap,109217,66181,32069,53035,500,"Seattle-Tacoma, WA"
Lewis,34113,20058,9368,53041,500,"Seattle-Tacoma, WA"
Mason,32617,17304,5150,53045,500,"Seattle-Tacoma, WA"
Pierce,333541,186670,120436,53053,500,"Seattle-Tacoma, WA"
Skagit,52058,31134,14974,53057,500,"Seattle-Tacoma, WA"
Snohomish,297178,184237,94389,53061,500,"Seattle-Tacoma, WA"
Thurston,111716,66018,37450,53067,500,"Seattle-Tacoma, WA"
Berkeley,46312,30646,11074,54003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Hampshire,13785,5938,4039,54027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Jefferson,22573,15324,5310,54037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Kenosha,69627,41316,21678,55059,176,"Chicago-Naperville, IL-IN-WI"
Pierce,16293,11044,4057,55093,378,"Minneapolis-St. Paul, MN-WI"
St. Croix,34695,24830,7981,55109,378,"Minneapolis-St. Paul, MN-WI"
