County_name,2000,STCO,CSA,CSA_Name,2010,2000-2010_NET,2000-2010_%
Providence,621602,44007,148,"Boston-Worcester-Providence, MA-RI-NH-CT",626667,5065,0.00814830068114324
Washington,123546,44009,148,"Boston-Worcester-Providence, MA-RI-NH-CT",126979,3433,0.02778722095413854
Austin,23590,48015,288,"Houston-The Woodlands, TX",28417,4827,0.2046206019499788
Brazoria,241767,48039,288,"Houston-The Woodlands, TX",313166,71399,0.2953215285791692
Chambers,26031,48071,288,"Houston-The Woodlands, TX",35096,9065,0.34823863854634857
Collin,491675,48085,206,"Dallas-Fort Worth, TX-OK",782341,290666,0.5911750648294096
Cooke,36363,48097,206,"Dallas-Fort Worth, TX-OK",38437,2074,0.05703599812996728
Dallas,2218899,48113,206,"Dallas-Fort Worth, TX-OK",2368139,149240,0.06725858184622194
Denton,432976,48121,206,"Dallas-Fort Worth, TX-OK",662614,229638,0.5303711984036067
Ellis,111360,48139,206,"Dallas-Fort Worth, TX-OK",149610,38250,0.34348060344827586
Fort Bend,354452,48157,288,"Houston-The Woodlands, TX",585375,230923,0.6514930089264555
Galveston,250158,48167,288,"Houston-The Woodlands, TX",291309,41151,0.16450003597726237
Grayson,110595,48181,206,"Dallas-Fort Worth, TX-OK",120877,10282,0.09296984492969845
Harris,3400578,48201,288,"Houston-The Woodlands, TX",4092459,691881,0.20345982359469478
Henderson,73277,48213,206,"Dallas-Fort Worth, TX-OK",78532,5255,0.07171418043860966
Hood,41100,48221,206,"Dallas-Fort Worth, TX-OK",51182,10082,0.24530413625304137
Hopkins,31960,48223,206,"Dallas-Fort Worth, TX-OK",35161,3201,0.10015644555694618
Hunt,76596,48231,206,"Dallas-Fort Worth, TX-OK",86129,9533,0.12445819625045694
Johnson,126811,48251,206,"Dallas-Fort Worth, TX-OK",150934,24123,0.1902279770682354
Kaufman,71313,48257,206,"Dallas-Fort Worth, TX-OK",103350,32037,0.44924487821294856
Liberty,70154,48291,288,"Houston-The Woodlands, TX",75643,5489,0.0782421529777347
Matagorda,37957,48321,288,"Houston-The Woodlands, TX",36702,-1255,-0.03306373001027479
Montgomery,293768,48339,288,"Houston-The Woodlands, TX",455746,161978,0.5513806813539937
Navarro,45124,48349,206,"Dallas-Fort Worth, TX-OK",47735,2611,0.05786277812250687
Palo Pinto,27026,48363,206,"Dallas-Fort Worth, TX-OK",28111,1085,0.04014652556797158
Parker,88495,48367,206,"Dallas-Fort Worth, TX-OK",116927,28432,0.32128368834397425
Rockwall,43080,48397,206,"Dallas-Fort Worth, TX-OK",78337,35257,0.8184076137418755
Somervell,6809,48425,206,"Dallas-Fort Worth, TX-OK",8490,1681,0.24687913056249083
Tarrant,1446219,48439,206,"Dallas-Fort Worth, TX-OK",1809034,362815,0.25087141020827414
Trinity,13779,48455,288,"Houston-The Woodlands, TX",14585,806,0.058494810944190435
Walker,61758,48471,288,"Houston-The Woodlands, TX",67861,6103,0.09882120534991418
Waller,32663,48473,288,"Houston-The Woodlands, TX",43205,10542,0.32275051281266265
Washington,30373,48477,288,"Houston-The Woodlands, TX",33718,3345,0.11013070819477826
Wharton,41188,48481,288,"Houston-The Woodlands, TX",41280,92,0.002233660289404681
Wise,48793,48497,206,"Dallas-Fort Worth, TX-OK",59127,10334,0.21179267517881664
Arlington,189453,51013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",207627,18174,0.09592880556127377
Clarke,12652,51043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",14034,1382,0.1092317420170724
Culpeper,34262,51047,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",46689,12427,0.36270503765104195
Fairfax,969749,51059,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1081726,111977,0.11547008555822176
Fauquier,55139,51061,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",65203,10064,0.18252053900143275
Frederick,59209,51069,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",78305,19096,0.3225185360333733
Loudoun,169599,51107,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",312311,142712,0.8414672256322266
Prince William,280813,51153,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",402002,121189,0.43156477798392523
Rappahannock,6983,51157,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",7373,390,0.055849921237290566
Spotsylvania,90395,51177,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",122397,32002,0.35402400575253057
Stafford,92446,51179,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",128961,36515,0.39498734396296215
Warren,31584,51187,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",37575,5991,0.18968465045592706
Alexandria,128283,51510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",139966,11683,0.09107208281689702
Fairfax,21498,51600,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",22565,1067,0.04963252395571681
Falls Church,10377,51610,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",12332,1955,0.18839741736532717
Fredericksburg,19279,51630,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24286,5007,0.25971264069713157
Manassas,35135,51683,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",37821,2686,0.07644798633840899
Manassas Park,10290,51685,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",14273,3983,0.3870748299319728
Winchester,23585,51840,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",26203,2618,0.11100275598897605
Island,71558,53029,500,"Seattle-Tacoma, WA",78506,6948,0.09709606193577237
King,1737034,53033,500,"Seattle-Tacoma, WA",1931249,194215,0.11180840444113356
Kitsap,231969,53035,500,"Seattle-Tacoma, WA",251133,19164,0.08261448728062802
Lewis,68600,53041,500,"Seattle-Tacoma, WA",75455,6855,0.0999271137026239
Mason,49405,53045,500,"Seattle-Tacoma, WA",60699,11294,0.22860034409472726
Pierce,700820,53053,500,"Seattle-Tacoma, WA",795225,94405,0.13470648668702379
Skagit,102979,53057,500,"Seattle-Tacoma, WA",116901,13922,0.13519261208595929
Snohomish,606024,53061,500,"Seattle-Tacoma, WA",713335,107311,0.17707384526025371
Thurston,207355,53067,500,"Seattle-Tacoma, WA",252264,44909,0.21658026090521088
Berkeley,75905,54003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",104169,28264,0.3723601870759502
Hampshire,20203,54027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",23964,3761,0.18616047121714596
