County_name,TotalHousing16,Owners16,renters16,Name,STCO,CSA,CSA_name
District of Columbia,306711,112672,163874,"District of Columbia, District of Columbia",11001,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Broward,816886,422354,250634,"Broward County, Florida",12011,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Indian River,77498,43135,14694,"Indian River County, Florida",12061,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Martin,78957,47589,15391,"Martin County, Florida",12085,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Miami-Dade,1004835,449174,404450,"Miami-Dade County, Florida",12086,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Okeechobee,18234,9104,3746,"Okeechobee County, Florida",12093,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Palm Beach,674975,369536,169013,"Palm Beach County, Florida",12099,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
St. Lucie,137649,78137,30659,"St. Lucie County, Florida",12111,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Barrow,26902,17461,6539,"Barrow County, Georgia",13013,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bartow,39935,23472,13018,"Bartow County, Georgia",13015,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Butts,9288,5535,2202,"Butts County, Georgia",13035,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Carroll,44691,25716,14571,"Carroll County, Georgia",13045,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cherokee,85926,62095,18283,"Cherokee County, Georgia",13057,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clarke,51868,17301,27600,"Clarke County, Georgia",13059,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clayton,104699,45993,44189,"Clayton County, Georgia",13063,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cobb,293084,173718,98257,"Cobb County, Georgia",13067,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Coweta,52005,35914,13543,"Coweta County, Georgia",13077,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Dawson,10645,6602,1920,"Dawson County, Georgia",13085,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
DeKalb,307255,146154,124749,"DeKalb County, Georgia",13089,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Douglas,51891,31228,16306,"Douglas County, Georgia",13097,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fayette,41391,31416,7517,"Fayette County, Georgia",13113,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Forsyth,71466,56003,10497,"Forsyth County, Georgia",13117,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fulton,449933,197281,187822,"Fulton County, Georgia",13121,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gordon,22255,12582,7197,"Gordon County, Georgia",13129,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gwinnett,298844,184363,94633,"Gwinnett County, Georgia",13135,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Hall,69701,41012,21315,"Hall County, Georgia",13139,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Haralson,12243,7585,3301,"Haralson County, Georgia",13143,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Heard,5105,3093,1271,"Heard County, Georgia",13149,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Henry,77863,51522,19478,"Henry County, Georgia",13151,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jackson,23866,16010,5105,"Jackson County, Georgia",13157,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jasper,6236,3764,1390,"Jasper County, Georgia",13159,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Lamar,7515,4464,1823,"Lamar County, Georgia",13171,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Madison,11762,7567,2781,"Madison County, Georgia",13195,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Meriwether,9879,5325,2657,"Meriwether County, Georgia",13199,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Morgan,7520,4976,1672,"Morgan County, Georgia",13211,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Newton,38414,23930,11160,"Newton County, Georgia",13217,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oconee,13121,9984,2304,"Oconee County, Georgia",13219,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oglethorpe,6488,4263,1460,"Oglethorpe County, Georgia",13221,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Paulding,53398,39269,10748,"Paulding County, Georgia",13223,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pickens,13706,8715,2662,"Pickens County, Georgia",13227,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pike,6816,5058,968,"Pike County, Georgia",13231,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Polk,16922,9985,4883,"Polk County, Georgia",13233,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Rockdale,33299,20309,9631,"Rockdale County, Georgia",13247,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Spalding,27005,13986,8928,"Spalding County, Georgia",13255,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Troup,28282,14204,10415,"Troup County, Georgia",13285,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Upson,12114,6744,3334,"Upson County, Georgia",13293,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Walton,32636,21795,8253,"Walton County, Georgia",13297,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bureau,15664,10602,3415,"Bureau County, Illinois",17011,176,"Chicago-Naperville, IL-IN-WI"
DeKalb,41017,21468,15899,"DeKalb County, Illinois",17037,176,"Chicago-Naperville, IL-IN-WI"
DuPage,357549,247155,91832,"DuPage County, Illinois",17043,176,"Chicago-Naperville, IL-IN-WI"
Grundy,20358,13654,4855,"Grundy County, Illinois",17063,176,"Chicago-Naperville, IL-IN-WI"
Kane,184075,127075,46643,"Kane County, Illinois",17089,176,"Chicago-Naperville, IL-IN-WI"
Kankakee,45182,27873,12607,"Kankakee County, Illinois",17091,176,"Chicago-Naperville, IL-IN-WI"
Kendall,41088,32152,7123,"Kendall County, Illinois",17093,176,"Chicago-Naperville, IL-IN-WI"
Lake,261715,178807,64469,"Lake County, Illinois",17097,176,"Chicago-Naperville, IL-IN-WI"
LaSalle,49871,32241,12127,"LaSalle County, Illinois",17099,176,"Chicago-Naperville, IL-IN-WI"
McHenry,117242,86922,23187,"McHenry County, Illinois",17111,176,"Chicago-Naperville, IL-IN-WI"
Putnam,3107,1949,491,"Putnam County, Illinois",17155,176,"Chicago-Naperville, IL-IN-WI"
Will,239953,182341,42618,"Will County, Illinois",17197,176,"Chicago-Naperville, IL-IN-WI"
Jasper,13354,9300,2791,"Jasper County, Indiana",18073,176,"Chicago-Naperville, IL-IN-WI"
Lake,210391,126609,57531,"Lake County, Indiana",18089,176,"Chicago-Naperville, IL-IN-WI"
LaPorte,48752,30572,12480,"LaPorte County, Indiana",18091,176,"Chicago-Naperville, IL-IN-WI"
Newton,6026,4112,1370,"Newton County, Indiana",18111,176,"Chicago-Naperville, IL-IN-WI"
Porter,67065,47915,14514,"Porter County, Indiana",18127,176,"Chicago-Naperville, IL-IN-WI"
Anne Arundel,219319,151331,53498,"Anne Arundel County, Maryland",24003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,337031,205922,106904,"Baltimore County, Maryland",24005,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Calvert,34613,25783,5696,"Calvert County, Maryland",24009,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Carroll,63123,49112,11337,"Carroll County, Maryland",24013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Cecil,42269,26935,10058,"Cecil County, Maryland",24015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Charles,58014,41874,12231,"Charles County, Maryland",24017,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Dorchester,16700,8628,4578,"Dorchester County, Maryland",24019,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,93645,65946,23049,"Frederick County, Maryland",24021,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Harford,98277,72265,20232,"Harford County, Maryland",24025,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Howard,115003,80655,29217,"Howard County, Maryland",24027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,385485,241201,126563,"Montgomery County, Maryland",24031,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince George's,330708,189084,117627,"Prince George's County, Maryland",24033,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Queen Anne's,20754,14383,3402,"Queen Anne's County, Maryland",24035,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
St. Mary's,43276,28033,10945,"St. Mary's County, Maryland",24037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Talbot,20110,11454,5027,"Talbot County, Maryland",24041,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Washington,61199,36204,19890,"Washington County, Maryland",24043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,296923,112849,129567,"Baltimore city, Maryland",24510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Barnstable,161632,74679,19672,"Barnstable County, Massachusetts",25001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Bristol,231247,132218,80715,"Bristol County, Massachusetts",25005,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Essex,308459,182306,105985,"Essex County, Massachusetts",25009,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Middlesex,619399,366548,221187,"Middlesex County, Massachusetts",25017,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Norfolk,273280,178170,81891,"Norfolk County, Massachusetts",25021,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Plymouth,202564,138410,43842,"Plymouth County, Massachusetts",25023,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Suffolk,324390,107263,192395,"Suffolk County, Massachusetts",25025,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Worcester,329285,195877,106917,"Worcester County, Massachusetts",25027,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Genesee,191033,115243,51001,"Genesee County, Michigan",26049,220,"Detroit-Warren-Ann Arbor, MI"
Lapeer,36217,26929,5828,"Lapeer County, Michigan",26087,220,"Detroit-Warren-Ann Arbor, MI"
Lenawee,43456,29398,8458,"Lenawee County, Michigan",26091,220,"Detroit-Warren-Ann Arbor, MI"
Livingston,74710,59228,10535,"Livingston County, Michigan",26093,220,"Detroit-Warren-Ann Arbor, MI"
Macomb,361158,247442,91451,"Macomb County, Michigan",26099,220,"Detroit-Warren-Ann Arbor, MI"
Monroe,63376,46588,11928,"Monroe County, Michigan",26115,220,"Detroit-Warren-Ann Arbor, MI"
Oakland,533097,348976,147751,"Oakland County, Michigan",26125,220,"Detroit-Warren-Ann Arbor, MI"
St. Clair,71874,48786,15743,"St. Clair County, Michigan",26147,220,"Detroit-Warren-Ann Arbor, MI"
Washtenaw,149284,82693,55979,"Washtenaw County, Michigan",26161,220,"Detroit-Warren-Ann Arbor, MI"
Wayne,816398,415477,253935,"Wayne County, Michigan",26163,220,"Detroit-Warren-Ann Arbor, MI"
Anoka,129252,100028,25232,"Anoka County, Minnesota",27003,378,"Minneapolis-St. Paul, MN-WI"
Benton,16496,10860,4866,"Benton County, Minnesota",27009,378,"Minneapolis-St. Paul, MN-WI"
Carver,36343,27913,7077,"Carver County, Minnesota",27019,378,"Minneapolis-St. Paul, MN-WI"
Chisago,21375,16832,2958,"Chisago County, Minnesota",27025,378,"Minneapolis-St. Paul, MN-WI"
Dakota,162614,117132,40564,"Dakota County, Minnesota",27037,378,"Minneapolis-St. Paul, MN-WI"
Goodhue,20351,14409,4642,"Goodhue County, Minnesota",27049,378,"Minneapolis-St. Paul, MN-WI"
Hennepin,520683,307266,186566,"Hennepin County, Minnesota",27053,378,"Minneapolis-St. Paul, MN-WI"
Isanti,15463,11706,2697,"Isanti County, Minnesota",27059,378,"Minneapolis-St. Paul, MN-WI"
Le Sueur,12498,8777,2028,"Le Sueur County, Minnesota",27079,378,"Minneapolis-St. Paul, MN-WI"
McLeod,15726,11387,3393,"McLeod County, Minnesota",27085,378,"Minneapolis-St. Paul, MN-WI"
Mille Lacs,12717,7418,2594,"Mille Lacs County, Minnesota",27095,378,"Minneapolis-St. Paul, MN-WI"
Ramsey,218080,122386,84941,"Ramsey County, Minnesota",27123,378,"Minneapolis-St. Paul, MN-WI"
Rice,24564,16795,5859,"Rice County, Minnesota",27131,378,"Minneapolis-St. Paul, MN-WI"
Scott,49260,39103,8051,"Scott County, Minnesota",27139,378,"Minneapolis-St. Paul, MN-WI"
Sherburne,32912,25454,5327,"Sherburne County, Minnesota",27141,378,"Minneapolis-St. Paul, MN-WI"
Sibley,6547,4698,1311,"Sibley County, Minnesota",27143,378,"Minneapolis-St. Paul, MN-WI"
Stearns,62911,39719,17976,"Stearns County, Minnesota",27145,378,"Minneapolis-St. Paul, MN-WI"
Washington,95498,73415,17867,"Washington County, Minnesota",27163,378,"Minneapolis-St. Paul, MN-WI"
Wright,49949,37520,8367,"Wright County, Minnesota",27171,378,"Minneapolis-St. Paul, MN-WI"
Belknap,37715,18501,5963,"Belknap County, New Hampshire",33001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Hillsborough,167606,103116,52998,"Hillsborough County, New Hampshire",33011,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Merrimack,63711,40245,16545,"Merrimack County, New Hampshire",33013,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Rockingham,128637,90849,27823,"Rockingham County, New Hampshire",33015,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Strafford,52396,31102,16677,"Strafford County, New Hampshire",33017,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Atlantic,127617,67793,33290,"Atlantic County, New Jersey",34001,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bergen,354772,218041,119028,"Bergen County, New Jersey",34003,408,"New York-Newark, NY-NJ-CT-PA"
Burlington,177623,125666,38957,"Burlington County, New Jersey",34005,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Camden,205800,124727,60995,"Camden County, New Jersey",34007,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cape May,98900,30605,9468,"Cape May County, New Jersey",34009,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cumberland,56299,32632,18086,"Cumberland County, New Jersey",34011,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Essex,314384,123300,156180,"Essex County, New Jersey",34013,408,"New York-Newark, NY-NJ-CT-PA"
Gloucester,112106,83145,21617,"Gloucester County, New Jersey",34015,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Hudson,276087,77459,174234,"Hudson County, New Jersey",34017,408,"New York-Newark, NY-NJ-CT-PA"
Hunterdon,49875,39122,7813,"Hunterdon County, New Jersey",34019,408,"New York-Newark, NY-NJ-CT-PA"
Mercer,144171,83401,46728,"Mercer County, New Jersey",34021,408,"New York-Newark, NY-NJ-CT-PA"
Middlesex,298832,180794,102485,"Middlesex County, New Jersey",34023,408,"New York-Newark, NY-NJ-CT-PA"
Monmouth,260222,171673,61195,"Monmouth County, New Jersey",34025,408,"New York-Newark, NY-NJ-CT-PA"
Morris,191081,135369,44365,"Morris County, New Jersey",34027,408,"New York-Newark, NY-NJ-CT-PA"
Ocean,280508,178376,44233,"Ocean County, New Jersey",34029,408,"New York-Newark, NY-NJ-CT-PA"
Passaic,176639,85909,75625,"Passaic County, New Jersey",34031,408,"New York-Newark, NY-NJ-CT-PA"
Salem,27630,17259,6996,"Salem County, New Jersey",34033,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Somerset,125232,88257,28199,"Somerset County, New Jersey",34035,408,"New York-Newark, NY-NJ-CT-PA"
Sussex,62236,44474,9174,"Sussex County, New Jersey",34037,408,"New York-Newark, NY-NJ-CT-PA"
Union,201107,109931,76959,"Union County, New Jersey",34039,408,"New York-Newark, NY-NJ-CT-PA"
Warren,45321,29861,11593,"Warren County, New Jersey",34041,408,"New York-Newark, NY-NJ-CT-PA"
Bronx,522401,93569,397171,"Bronx County, New York",36005,408,"New York-Newark, NY-NJ-CT-PA"
Dutchess,119023,73505,33444,"Dutchess County, New York",36027,408,"New York-Newark, NY-NJ-CT-PA"
Kings,1021747,276447,662356,"Kings County, New York",36047,408,"New York-Newark, NY-NJ-CT-PA"
Nassau,467127,353420,86810,"Nassau County, New York",36059,408,"New York-Newark, NY-NJ-CT-PA"
New York,866644,174361,579024,"New York County, New York",36061,408,"New York-Newark, NY-NJ-CT-PA"
Orange,139757,85306,39838,"Orange County, New York",36071,408,"New York-Newark, NY-NJ-CT-PA"
Putnam,38321,27961,6141,"Putnam County, New York",36079,408,"New York-Newark, NY-NJ-CT-PA"
Queens,846689,341363,437941,"Queens County, New York",36081,408,"New York-Newark, NY-NJ-CT-PA"
Richmond,178603,114502,51512,"Richmond County, New York",36085,408,"New York-Newark, NY-NJ-CT-PA"
Rockland,104651,68276,30762,"Rockland County, New York",36087,408,"New York-Newark, NY-NJ-CT-PA"
Suffolk,570464,389182,100576,"Suffolk County, New York",36103,408,"New York-Newark, NY-NJ-CT-PA"
Sullivan,49645,18762,9245,"Sullivan County, New York",36105,408,"New York-Newark, NY-NJ-CT-PA"
Ulster,83762,48343,20992,"Ulster County, New York",36111,408,"New York-Newark, NY-NJ-CT-PA"
Westchester,369925,210004,131758,"Westchester County, New York",36119,408,"New York-Newark, NY-NJ-CT-PA"
Bryan,19911,10741,5892,"Bryan County, Oklahoma",40013,206,"Dallas-Fort Worth, TX-OK"
Berks,164853,109472,42979,"Berks County, Pennsylvania",42011,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bucks,246869,178754,54763,"Bucks County, Pennsylvania",42017,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Chester,195720,140527,46194,"Chester County, Pennsylvania",42029,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Delaware,221969,141292,62318,"Delaware County, Pennsylvania",42045,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Franklin,64178,42175,17217,"Franklin County, Pennsylvania",42055,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,327785,223629,86255,"Montgomery County, Pennsylvania",42091,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Philadelphia,671125,305214,277380,"Philadelphia County, Pennsylvania",42101,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bristol,20786,13574,5725,"Bristol County, Rhode Island",44001,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,73590,48122,20539,"Kent County, Rhode Island",44003,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Newport,41878,21473,13795,"Newport County, Rhode Island",44005,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Providence,263549,125723,111736,"Providence County, Rhode Island",44007,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Washington,62854,35856,13697,"Washington County, Rhode Island",44009,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Austin,13005,8260,2962,"Austin County, Texas",48015,288,"Houston-The Woodlands, TX"
Brazoria,126945,81646,32644,"Brazoria County, Texas",48039,288,"Houston-The Woodlands, TX"
Chambers,14440,10436,2531,"Chambers County, Texas",48071,288,"Houston-The Woodlands, TX"
Collin,329455,208116,106802,"Collin County, Texas",48085,206,"Dallas-Fort Worth, TX-OK"
Cooke,16675,10412,4484,"Cooke County, Texas",48097,206,"Dallas-Fort Worth, TX-OK"
Dallas,975540,452284,442258,"Dallas County, Texas",48113,206,"Dallas-Fort Worth, TX-OK"
Denton,281136,170389,95401,"Denton County, Texas",48121,206,"Dallas-Fort Worth, TX-OK"
Ellis,57235,38847,14956,"Ellis County, Texas",48139,206,"Dallas-Fort Worth, TX-OK"
Fort Bend,224504,167037,47089,"Fort Bend County, Texas",48157,288,"Houston-The Woodlands, TX"
Galveston,140048,76547,39138,"Galveston County, Texas",48167,288,"Houston-The Woodlands, TX"
Grayson,54395,31785,15376,"Grayson County, Texas",48181,206,"Dallas-Fort Worth, TX-OK"
Harris,1687657,837912,698347,"Harris County, Texas",48201,288,"Houston-The Woodlands, TX"
Henderson,39939,22287,7498,"Henderson County, Texas",48213,206,"Dallas-Fort Worth, TX-OK"
Hood,25518,16106,4934,"Hood County, Texas",48221,206,"Dallas-Fort Worth, TX-OK"
Hopkins,15181,9450,3809,"Hopkins County, Texas",48223,206,"Dallas-Fort Worth, TX-OK"
Hunt,36954,21558,9596,"Hunt County, Texas",48231,206,"Dallas-Fort Worth, TX-OK"
Johnson,59078,39690,14190,"Johnson County, Texas",48251,206,"Dallas-Fort Worth, TX-OK"
Kaufman,39273,27275,8464,"Kaufman County, Texas",48257,206,"Dallas-Fort Worth, TX-OK"
Liberty,29609,19193,6418,"Liberty County, Texas",48291,288,"Houston-The Woodlands, TX"
Matagorda,19069,9167,4499,"Matagorda County, Texas",48321,288,"Houston-The Woodlands, TX"
Montgomery,196210,128765,50822,"Montgomery County, Texas",48339,288,"Houston-The Woodlands, TX"
Navarro,20478,11775,5634,"Navarro County, Texas",48349,206,"Dallas-Fort Worth, TX-OK"
Palo Pinto,15323,7108,3308,"Palo Pinto County, Texas",48363,206,"Dallas-Fort Worth, TX-OK"
Parker,47883,33492,9778,"Parker County, Texas",48367,206,"Dallas-Fort Worth, TX-OK"
Rockwall,30789,23563,5829,"Rockwall County, Texas",48397,206,"Dallas-Fort Worth, TX-OK"
Somervell,3723,2303,938,"Somervell County, Texas",48425,206,"Dallas-Fort Worth, TX-OK"
Tarrant,740355,412427,270540,"Tarrant County, Texas",48439,206,"Dallas-Fort Worth, TX-OK"
Trinity,8753,4384,1075,"Trinity County, Texas",48455,288,"Houston-The Woodlands, TX"
Walker,25003,11134,9561,"Walker County, Texas",48471,288,"Houston-The Woodlands, TX"
Waller,16148,9632,4450,"Waller County, Texas",48473,288,"Houston-The Woodlands, TX"
Washington,15750,9156,2828,"Washington County, Texas",48477,288,"Houston-The Woodlands, TX"
Wharton,17371,10138,4841,"Wharton County, Texas",48481,288,"Houston-The Woodlands, TX"
Wise,23957,16412,5015,"Wise County, Texas",48497,206,"Dallas-Fort Worth, TX-OK"
Arlington,110763,44531,56176,"Arlington County, Virginia",51013,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Clarke,6283,4162,1429,"Clarke County, Virginia",51043,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Culpeper,18134,12118,4786,"Culpeper County, Virginia",51047,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,411072,265351,128007,"Fairfax County, Virginia",51059,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fauquier,26241,18660,5230,"Fauquier County, Virginia",51061,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,32502,23366,6548,"Frederick County, Virginia",51069,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Loudoun,122490,90656,26417,"Loudoun County, Virginia",51107,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince William,144314,98292,39810,"Prince William County, Virginia",51153,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Rappahannock,3950,2412,835,"Rappahannock County, Virginia",51157,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Spotsylvania,46263,33249,9856,"Spotsylvania County, Virginia",51177,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Stafford,46427,33330,10981,"Stafford County, Virginia",51179,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Warren,16146,10737,3437,"Warren County, Virginia",51187,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Alexandria,75087,28710,39353,"Alexandria city, Virginia",51510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,8801,5992,2484,"Fairfax city, Virginia",51600,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
