STCO,Name,TotalPop00,TotalHousing00,TotalPOP17,TotalHousing17,Total_emp00,Total_emp17
17093,"Kendall County, Illinois",54544,19519,126218,41921,6067,28489
17097,"Lake County, Illinois",644356,225919,703520,263771,201350,334907
17099,"LaSalle County, Illinois",111509,46438,110067,50123,790,42895
17111,"McHenry County, Illinois",260077,92908,309122,118485,8224,97667
17155,"Putnam County, Illinois",6086,2888,5727,3153,2132,1845
17197,"Will County, Illinois",502266,175524,692661,243959,0,240331
18073,"Jasper County, Indiana",30043,11236,33447,13567,2867,12051
18089,"Lake County, Indiana",484564,194992,485640,212728,3274,187600
18091,"LaPorte County, Indiana",110106,45621,110029,49136,2681,40247
18111,"Newton County, Indiana",14566,5726,14130,6086,1481,3253
18127,"Porter County, Indiana",146798,57616,168404,68773,11733,59097
24003,"Anne Arundel County, Maryland",489656,186937,573235,224547,14310,270971
24005,"Baltimore County, Maryland",754292,313734,832468,336824,33237,374740
24009,"Calvert County, Maryland",74563,27576,91502,35208,433,24258
24013,"Carroll County, Maryland",150897,54260,167781,63562,4382,58679
24015,"Cecil County, Maryland",85951,34461,102746,42650,2481,31817
24017,"Charles County, Maryland",120546,43903,159700,60675,4525,41646
24019,"Dorchester County, Maryland",30674,14681,32162,16766,760,10868
24021,"Frederick County, Maryland",195277,73017,252022,97366,6983,100655
24025,"Harford County, Maryland",218590,83146,252160,100271,6513,93419
24027,"Howard County, Maryland",247842,92818,321113,119834,11269,170367
24031,"Montgomery County, Maryland",873341,334632,1058810,390016,1099,469354
24033,"Prince George's County, Maryland",801515,302378,912756,332144,14988,319529
24035,"Queen Anne's County, Maryland",40563,16674,49770,21150,8746,14686
24037,"St. Mary's County, Maryland",86211,34081,112667,44927,22631,43789
24041,"Talbot County, Maryland",33812,16500,37103,20217,12309,19368
24043,"Washington County, Maryland",131923,52972,150578,61488,41010,66573
24510,"Baltimore city, Maryland",651154,300477,611648,294496,9089,340166
25001,"Barnstable County, Massachusetts",222230,147083,213444,163533,2085,97180
25005,"Bristol County, Massachusetts",534678,216918,561483,235450,4274,226217
25009,"Essex County, Massachusetts",723419,287144,785205,313193,28149,324956
25017,"Middlesex County, Massachusetts",1465396,576681,1602947,634416,56110,900510
25021,"Norfolk County, Massachusetts",650308,255154,700322,278749,5327,351812
25023,"Plymouth County, Massachusetts",472822,181524,515142,206798,4673,192998
25025,"Suffolk County, Massachusetts",689807,292520,797939,336205,43262,672017
25027,"Worcester County, Massachusetts",750963,298159,826116,334986,11842,346544
26049,"Genesee County, Michigan",436141,183630,407385,192349,14761,134078
26087,"Lapeer County, Michigan",87904,32732,88174,36651,497,21243
26091,"Lenawee County, Michigan",98890,39769,98623,43808,33987,26987
26093,"Livingston County, Michigan",156951,58919,189651,76696,42086,61087
26099,"Macomb County, Michigan",788149,320276,871375,365743,42726,326869
26115,"Monroe County, Michigan",145945,56471,149649,64306,23418,40600
26125,"Oakland County, Michigan",1194156,492006,1250836,539798,767675,728381
26147,"St. Clair County, Michigan",164235,67107,159350,72144,5602,44611
26161,"Washtenaw County, Michigan",322895,131069,367627,150395,5840,210160
26163,"Wayne County, Michigan",2061162,826145,1753616,814910,28011,718512
27003,"Anoka County, Minnesota",298084,108091,351373,131942,59741,122310
27009,"Benton County, Minnesota",34226,13460,39937,17138,152,17482
27019,"Carver County, Minnesota",70205,24883,102119,38252,2186,39083
27025,"Chisago County, Minnesota",41101,15533,55308,21957,1352,15435
27037,"Dakota County, Minnesota",355904,133750,421751,166159,679,188272
27049,"Goodhue County, Minnesota",44127,17879,46304,20622,4328,21587
27053,"Hennepin County, Minnesota",1116200,468824,1252024,533411,88979,916118
27059,"Isanti County, Minnesota",31287,12062,39582,15963,253,10819
27079,"Le Sueur County, Minnesota",25426,10858,28111,12682,3886,8860
27085,"McLeod County, Minnesota",34898,14087,35884,15849,1200,16307
27095,"Mille Lacs County, Minnesota",22330,10467,25872,12918,1645,9630
27123,"Ramsey County, Minnesota",511035,206448,547974,220443,13024,331651
27131,"Rice County, Minnesota",56665,20061,65968,24987,1943,24898
27139,"Scott County, Minnesota",89498,31609,145827,51013,8184,52926
27141,"Sherburne County, Minnesota",64417,22827,94570,33888,0,25591
27143,"Sibley County, Minnesota",15356,6024,14869,6596,4037,4409
27145,"Stearns County, Minnesota",133166,50291,157822,64690,2020,86731
27163,"Washington County, Minnesota",201130,73635,256348,98256,5538,84659
27171,"Wright County, Minnesota",89986,34355,134286,51778,2234,43280
33001,"Belknap County, New Hampshire",56325,32121,60785,38616,2408,25824
33011,"Hillsborough County, New Hampshire",380841,149961,409697,171096,13104,201769
33013,"Merrimack County, New Hampshire",136225,56244,149216,64977,6045,76799
33015,"Rockingham County, New Hampshire",277359,113023,306363,132260,10327,148971
33017,"Strafford County, New Hampshire",112233,45539,128613,53802,4017,48160
34001,"Atlantic County, New Jersey",252552,114090,269918,128178,12896,123483
34003,"Bergen County, New Jersey",884118,339820,948406,357520,33683,444011
34005,"Burlington County, New Jersey",423394,161311,448596,179537,17830,204542
34007,"Camden County, New Jersey",508932,199679,510719,205957,24701,203976
34009,"Cape May County, New Jersey",102326,91047,93553,99245,6766,41546
34011,"Cumberland County, New Jersey",146438,52863,152538,56435,7928,58980
34013,"Essex County, New Jersey",793633,301011,808285,317549,44504,340791
34015,"Gloucester County, New Jersey",254673,95054,292206,113410,5182,107608
34017,"Hudson County, New Jersey",608975,240618,691643,281637,175918,260798
34019,"Hunterdon County, New Jersey",121989,45032,125059,50206,31217,46970
34021,"Mercer County, New Jersey",350761,133280,374733,144892,128660,247439
34023,"Middlesex County, New Jersey",750162,273637,842798,301501,275762,422570
34025,"Monmouth County, New Jersey",615301,240884,626351,261461,169961,259085
34027,"Morris County, New Jersey",470212,174379,499693,192996,13521,288451
34029,"Ocean County, New Jersey",510916,248711,597943,283695,1871,165809
34031,"Passaic County, New Jersey",489049,170048,512607,177172,3167,166323
34033,"Salem County, New Jersey",64285,26158,62792,27612,1394,20979
34035,"Somerset County, New Jersey",297490,112023,335432,126693,41069,186925
34037,"Sussex County, New Jersey",144166,56528,141682,62374,3823,38364
34039,"Union County, New Jersey",522541,192945,563892,202232,13906,218976
34041,"Warren County, New Jersey",102437,41157,106798,45515,0,33477
36005,"Bronx County, New York",1332650,490659,1471160,528806,4215,301096
36027,"Dutchess County, New York",280150,106103,295568,120740,2610,112143
36047,"Kings County, New York",2465326,930866,2648771,1044337,442676,711896
36059,"Nassau County, New York",1334544,458151,1369514,472291,3768,628387
36061,"New York County, New York",1537195,798144,1664727,886408,23153,2460853
36071,"Orange County, New York",341367,122754,382226,143310,2919,142435
36079,"Putnam County, New York",95745,35030,99323,38645,17706,26525
36081,"Queens County, New York",2229379,817250,2358582,857157,449062,662754
36085,"Richmond County, New York",443728,163993,479458,180599,6700,115775
36087,"Rockland County, New York",286753,94973,328868,106216,70675,123726
36103,"Suffolk County, New York",1419369,522323,1492953,576047,75191,657636
36105,"Sullivan County, New York",73966,44730,75485,50693,1153,26766
36111,"Ulster County, New York",177749,77656,179417,85131,6339,60427
36119,"Westchester County, New York",923459,349445,980244,374901,27818,425986
40013,"Bryan County, Oklahoma",36534,16715,46319,20305,1888,17568
42011,"Berks County, Pennsylvania",373638,150222,417854,167047,2752,171325
42017,"Bucks County, Pennsylvania",597635,225498,628341,250646,1185,263465
42029,"Chester County, Pennsylvania",433501,163773,519293,200241,25085,249669
42045,"Delaware County, Pennsylvania",550864,216978,564696,224406,44350,222544
42055,"Franklin County, Pennsylvania",129313,53803,154234,65418,15027,58187
42091,"Montgomery County, Pennsylvania",750097,297434,826075,334377,24865,492826
42101,"Philadelphia County, Pennsylvania",1517550,661958,1580863,685900,18120,672917
44001,"Bristol County, Rhode Island",50648,19881,48912,21025,2979,13715
44003,"Kent County, Rhode Island",167090,70365,163760,74389,5235,75028
44005,"Newport County, Rhode Island",85433,39561,83460,42535,5294,40189
44007,"Providence County, Rhode Island",621602,253214,637357,266296,56499,285658
44009,"Washington County, Rhode Island",123546,56816,126150,64006,1736,52878
48015,"Austin County, Texas",23590,10205,29786,13222,419,10017
48039,"Brazoria County, Texas",241767,90628,362457,136364,1671,107018
48071,"Chambers County, Texas",26031,10336,41441,15598,1375,13936
48085,"Collin County, Texas",491675,194892,969603,363568,8922,398416
48097,"Cooke County, Texas",36363,15061,39895,16929,85,14138
48113,"Dallas County, Texas",2218899,854119,2618148,1012992,86220,1684334
48121,"Denton County, Texas",432976,168069,836210,309325,3279,239269
48139,"Ellis County, Texas",111360,39071,173620,61214,1057,49276
48157,"Fort Bend County, Texas",354452,115991,764828,252998,18092,178501
48167,"Galveston County, Texas",250158,111733,335036,146439,2445,109930
48181,"Grayson County, Texas",110595,48315,131140,55868,241,45864
48201,"Harris County, Texas",3400578,1298130,4652980,1768827,57716,2271610
48213,"Henderson County, Texas",73277,35935,81064,41129,1632,16883
48221,"Hood County, Texas",41100,19105,58273,26485,1315,15537
48223,"Hopkins County, Texas",31960,14020,36496,15387,921,12565
48231,"Hunt County, Texas",76596,32490,93872,37766,909,29545
48251,"Johnson County, Texas",126811,46269,167301,61982,3318,46570
48257,"Kaufman County, Texas",71313,26133,122883,41119,195,31264
48291,"Liberty County, Texas",70154,26359,83658,31101,588,16970
48321,"Matagorda County, Texas",37957,18611,36840,19400,870,10807
48339,"Montgomery County, Texas",293768,112770,570934,217051,1300,175874
48349,"Navarro County, Texas",45124,18449,48701,20848,16522,16267
48363,"Palo Pinto County, Texas",27026,14102,28570,15479,853,8646
48367,"Parker County, Texas",88495,34084,133463,50049,1200,32043
48397,"Rockwall County, Texas",43080,15351,96788,33992,8882,29526
48425,"Somervell County, Texas",6809,2750,8845,3852,55,3799
48439,"Tarrant County, Texas",1446219,565830,2054475,766952,614314,873717
48455,"Trinity County, Texas",13779,8141,14667,8992,193,2302
48471,"Walker County, Texas",61758,21099,72245,25915,2150,24534
48473,"Waller County, Texas",32663,11955,51307,17034,2761,16271
48477,"Washington County, Texas",30373,13241,35043,16087,568,14679
48481,"Wharton County, Texas",41188,16606,41968,17572,511,15576
48497,"Wise County, Texas",48793,19242,66181,24715,95,19399
51013,"Arlington County, Virginia",189453,90426,234965,114026,13255,176703
51043,"Clarke County, Virginia",12652,5388,14508,6347,1191,3997
51047,"Culpeper County, Virginia",34262,12871,51282,18656,607,15735
51059,"Fairfax County, Virginia",969749,359411,1148433,414436,39940,601563
51061,"Fauquier County, Virginia",55139,21046,69465,26832,1673,22100
51069,"Frederick County, Virginia",59209,23319,86484,34241,4863,31259
51107,"Loudoun County, Virginia",169599,62160,398080,132965,24068,164439
51153,"Prince William County, Virginia",280813,98052,463023,149120,2579,127877
51157,"Rappahannock County, Virginia",6983,3303,7321,3975,248,1527
51177,"Spotsylvania County, Virginia",90395,33329,133033,47262,95,35737
51179,"Stafford County, Virginia",92446,31405,146649,49299,143,42980
51187,"Warren County, Virginia",31584,13299,39563,16358,108,12279
51510,"Alexandria city, Virginia",128283,64251,160035,76593,0,93781
51600,"Fairfax city, Virginia",21498,8204,24097,9058,423,19184
51610,"Falls Church city, Virginia",10377,4725,14583,6017,9830,12086
51630,"Fredericksburg city, Virginia",19279,8888,28360,11696,18508,24873
51683,"Manassas city, Virginia",35135,12114,41501,13679,238,22333
51685,"Manassas Park city, Virginia",10290,3365,16591,4885,0,3499
51840,"Winchester city, Virginia",23585,10587,27932,11844,767,25204
53029,"Island County, Washington",71558,32378,83159,41876,1842,16369
53033,"King County, Washington",1737034,742237,2188649,934552,101526,1355947
53035,"Kitsap County, Washington",231969,92644,266414,112667,7195,87347
53041,"Lewis County, Washington",68600,29585,78200,35101,2267,25708
53045,"Mason County, Washington",49405,25515,63710,33451,12075,14018
53053,"Pierce County, Washington",700820,277060,876764,346026,237077,302424
53057,"Skagit County, Washington",102979,42681,125619,53800,43881,50708
53061,"Snohomish County, Washington",606024,236205,801633,310084,24492,283946
53067,"Thurston County, Washington",207355,86652,280588,116820,9935,113258
54003,"Berkeley County, West Virginia",75905,32913,114920,48524,805,33654
54027,"Hampshire County, West Virginia",20203,11185,23471,14036,633,3737
54037,"Jefferson County, West Virginia",42190,17623,56338,23181,7183,15440
55059,"Kenosha County, Wisconsin",149577,59989,168521,70574,5821,66392
55093,"Pierce County, Wisconsin",36804,13493,41901,16590,6508,10029
55109,"St. Croix County, Wisconsin",63155,24265,88703,35823,773,33508
