,Total_emp00,Total_emp17,emp_NET00-17,emp_%00-17
13227,5443,7680,2237,0.41098658827852286
13231,1831,2849,1018,0.55598033861278
13233,10304,11052,748,0.07259316770186336
13247,33830,31805,-2025,-0.05985811409991132
13255,22807,22627,-180,-0.00789231376331828
13285,34637,39608,4971,0.14351704824320813
13293,9691,6497,-3194,-0.32958415024249305
13297,13668,22747,9079,0.6642522680714077
17011,11924,11893,-31,-0.00259979872525998
17037,33108,37638,4530,0.13682493657122147
17043,582131,620122,37991,0.06526194275858871
17063,14493,19168,4675,0.3225695163182226
17089,192864,209751,16887,0.08755910900945744
17091,42801,44939,2138,0.049952103922805545
17093,15669,28489,12820,0.8181760163379922
17097,310413,334907,24494,0.07890777770260911
17099,44492,42895,-1597,-0.035894093320147445
17111,87149,97667,10518,0.12068985301036156
17155,2132,1845,-287,-0.1346153846153846
17197,142088,240331,98243,0.6914236247959011
18073,10877,12051,1174,0.10793417302565045
18089,199240,187600,-11640,-0.05842200361373218
18091,47385,40247,-7138,-0.1506383876754247
18111,4239,3253,-986,-0.23260202878037273
18127,54996,59097,4101,0.07456905956796858
24003,193332,270971,77639,0.40158380402623467
24005,357453,374740,17287,0.04836160278414225
24009,16882,24258,7376,0.4369150574576472
24013,46655,58679,12024,0.25772157325045547
24015,22959,31817,8858,0.38581819765669234
24017,36099,41646,5547,0.15366076622621125
24019,11198,10868,-330,-0.029469548133595286
24021,77069,100655,23586,0.30603744696311097
24025,68601,93419,24818,0.36177315199486887
24027,128526,170367,41841,0.3255450259091546
24031,447208,469354,22146,0.049520581027173036
24033,303252,319529,16277,0.053674831493279514
24035,10726,14686,3960,0.36919634532910683
24037,33333,43789,10456,0.31368313683136834
24041,18265,19368,1103,0.06038872159868601
24043,62911,66573,3662,0.05820921619430624
24510,386646,340166,-46480,-0.12021332174650715
25001,88331,97180,8849,0.10018000475484258
25005,220983,226217,5234,0.023685079847771094
25009,304338,324956,20618,0.06774704440457649
25017,846092,900510,54418,0.0643168827976154
25021,323694,351812,28118,0.08686599071963026
25023,165897,192998,27101,0.16336039831943916
25025,606715,672017,65302,0.10763208425702347
25027,320128,346544,26416,0.08251699320271891
26049,165716,134078,-31638,-0.19091699051389124
26087,22487,21243,-1244,-0.05532085204784987
26091,33987,26987,-7000,-0.2059611027745903
26093,48488,61087,12599,0.2598374855634384
26099,337298,326869,-10429,-0.03091924648233906
26115,43551,40600,-2951,-0.06775963812541617
26125,767675,728381,-39294,-0.05118572312502035
26147,51334,44611,-6723,-0.13096583161257647
26161,195688,210160,14472,0.07395445811700257
26163,865158,718512,-146646,-0.1695019869203082
27003,108692,122310,13618,0.12528980973760717
27009,13923,17482,3559,0.25562019679666736
27019,28729,39083,10354,0.36040238086950466
27025,12598,15435,2837,0.22519447531354184
27037,153031,188272,35241,0.23028667394188107
27049,21904,21587,-317,-0.014472242512783054
27053,873548,916118,42570,0.04873229633632038
27059,9134,10819,1685,0.18447558572366982
27079,9216,8860,-356,-0.038628472222222224
27085,18019,16307,-1712,-0.09501082191020589
27095,9718,9630,-88,-0.0090553611854291
27123,333247,331651,-1596,-0.004789240413267036
27131,22263,24898,2635,0.11835781341238827
27139,34545,52926,18381,0.5320885801128962
27141,18993,25591,6598,0.34739114410572314
27143,4037,4409,372,0.09214763438196681
27145,76136,86731,10595,0.13915887359462015
27163,67317,84659,17342,0.257616946685087
27171,28675,43280,14605,0.5093286835222319
33001,25891,25824,-67,-0.0025877718125989725
33011,193265,201769,8504,0.04400175924249088
33013,70421,76799,6378,0.09056957441672228
33015,129522,148971,19449,0.15015981840922776
33017,43184,48160,4976,0.1152278621711745
34001,140098,123483,-16615,-0.11859555454039315
34003,447845,444011,-3834,-0.0085609976666034
34005,179546,204542,24996,0.13921780490793445
34007,199078,203976,4898,0.02460342177437989
34009,38554,41546,2992,0.07760543653058048
34011,57490,58980,1490,0.025917550878413638
34013,360537,340791,-19746,-0.054768303946612966
34015,86716,107608,20892,0.240924396881775
34017,239167,260798,21631,0.09044307952184039
34019,46631,46970,339,0.0072698419506336985
34021,209484,247439,37955,0.18118328846117127
34023,393646,422570,28924,0.07347718508507643
34025,232026,259085,27059,0.11662055114513029
34027,274704,288451,13747,0.050042955326460484
34029,128434,165809,37375,0.2910054969867792
34031,178179,166323,-11856,-0.06653982792584985
34033,21351,20979,-372,-0.017423071518898412
34035,173311,186925,13614,0.07855242887064295
34037,35578,38364,2786,0.07830681882061949
34039,235537,218976,-16561,-0.07031167077783958
34041,33762,33477,-285,-0.008441443042473787
36005,212988,301096,88108,0.41367588784344655
36027,110123,112143,2020,0.018343125414309453
36047,442676,711896,269220,0.6081648880897089
36059,598578,628387,29809,0.049799691936556305
36061,2385123,2460853,75730,0.03175098307299037
36071,119668,142435,22767,0.190251362101815
36079,21656,26525,4869,0.22483376431473956
36081,479969,662754,182785,0.380826678389646
36085,88212,115775,27563,0.31246315694009885
36087,106165,123726,17561,0.16541232986389112
36103,577862,657636,79774,0.13805026113501148
36105,24481,26766,2285,0.09333769045382133
36111,61885,60427,-1458,-0.023559828714551184
36119,403444,425986,22542,0.055873925501432664
40013,12299,17568,5269,0.4284088137246931
42011,168298,171325,3027,0.017985953487266636
42017,243972,263465,19493,0.07989851294410834
42029,216722,249669,32947,0.15202425226788235
42045,212238,222544,10306,0.04855869354215551
42055,48649,58187,9538,0.19605747291825115
42091,480559,492826,12267,0.025526522237644077
42101,666957,672917,5960,0.008936108324824539
44001,13218,13715,497,0.037600242094114084
44003,74841,75028,187,0.002498630429844604
44005,36975,40189,3214,0.0869235970250169
44007,290158,285658,-4500,-0.015508791761729816
44009,43026,52878,9852,0.2289778273602008
48015,8065,10017,1952,0.24203347799132052
48039,75325,107018,31693,0.4207500829737803
48071,7073,13936,6863,0.9703096281634385
48085,167642,398416,230774,1.376588205819544
48097,12610,14138,1528,0.1211736716891356
48113,1565365,1684334,118969,0.07600080492409118
48121,119332,239269,119937,1.0050698890490397
48139,33228,49276,16048,0.48296617310701817
48157,87584,178501,90917,1.038054895871392
48167,86756,109930,23174,0.26711697173682514
48181,44363,45864,1501,0.03383450172440998
48201,1840152,2271610,431458,0.23446867432690344
48213,15738,16883,1145,0.07275384419875461
48221,9431,15537,6106,0.6474392959389248
48223,10911,12565,1654,0.15159013839244798
48231,25002,29545,4543,0.18170546356291498
48251,32525,46570,14045,0.4318216756341276
48257,21430,31264,9834,0.4588894073728418
48291,15466,16970,1504,0.09724557092978145
48321,11528,10807,-721,-0.06254337265787648
48339,76764,175874,99110,1.291099994789224
48349,16522,16267,-255,-0.015433966832102651
48363,8410,8646,236,0.02806183115338882
48367,18083,32043,13960,0.7719957971575513
48397,13482,29526,16044,1.190031152647975
48425,3637,3799,162,0.04454220511410503
48439,702288,873717,171429,0.24410071081949286
48455,2424,2302,-122,-0.05033003300330033
48471,22568,24534,1966,0.08711449840482098
48473,9749,16271,6522,0.6689916914555339
48477,13437,14679,1242,0.09243134628265237
48481,14902,15576,674,0.045228828345188564
48497,12223,19399,7176,0.5870899124601162
51013,158242,176703,18461,0.11666308565361914
51043,4558,3997,-561,-0.1230802983764809
51047,13061,15735,2674,0.20473164382512823
51059,537746,601563,63817,0.11867498781952818
51061,17139,22100,4961,0.2894567944454169
51069,17334,31259,13925,0.8033344871351102
51107,87369,164439,77070,0.8821206606462246
51153,77934,127877,49943,0.6408371185875228
51157,1380,1527,147,0.10652173913043478
51177,23477,35737,12260,0.5222132299697576
51179,24247,42980,18733,0.7725904235575535
51187,10024,12279,2255,0.22496009577015164
51510,91892,93781,1889,0.02055674052148174
51600,16795,19184,2389,0.14224471568919322
51610,14517,12086,-2431,-0.16745884135840738
51630,23136,24873,1737,0.07507780082987552
51683,19870,22333,2463,0.12395571212883745
51685,3912,3499,-413,-0.10557259713701432
51840,28654,25204,-3450,-0.1204020381098625
53029,14071,16369,2298,0.16331461871935185
53033,1166495,1355947,189452,0.16241132623800358
53035,71847,87347,15500,0.21573621723941153
53041,25002,25708,706,0.028237740980721543
53045,12075,14018,1943,0.16091097308488614
53053,237077,302424,65347,0.27563618571181514
53057,43881,50708,6827,0.15557986372233998
53061,209569,283946,74377,0.35490458989640644
53067,84339,113258,28919,0.3428900034385041
54003,25802,33654,7852,0.3043174947678475
54027,3735,3737,2,0.000535475234270415
54037,12776,15440,2664,0.20851596743894804
55059,50952,66392,15440,0.30303030303030304
55093,9283,10029,746,0.0803619519551869
55109,25792,33508,7716,0.2991625310173697
