County_name,Name,STCO,LaborForce,CSA,CSA_name
Spalding,"Spalding County, Georgia",13255,26819,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Troup,"Troup County, Georgia",13285,33077,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Upson,"Upson County, Georgia",13293,11235,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Walton,"Walton County, Georgia",13297,41699,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bureau,"Bureau County, Illinois",17011,17376,176,"Chicago-Naperville, IL-IN-WI"
DeKalb,"DeKalb County, Illinois",17037,57748,176,"Chicago-Naperville, IL-IN-WI"
DuPage,"DuPage County, Illinois",17043,514364,176,"Chicago-Naperville, IL-IN-WI"
Grundy,"Grundy County, Illinois",17063,26244,176,"Chicago-Naperville, IL-IN-WI"
Kane,"Kane County, Illinois",17089,277674,176,"Chicago-Naperville, IL-IN-WI"
Kankakee,"Kankakee County, Illinois",17091,54797,176,"Chicago-Naperville, IL-IN-WI"
Kendall,"Kendall County, Illinois",17093,66123,176,"Chicago-Naperville, IL-IN-WI"
Lake,"Lake County, Illinois",17097,379883,176,"Chicago-Naperville, IL-IN-WI"
LaSalle,"LaSalle County, Illinois",17099,55899,176,"Chicago-Naperville, IL-IN-WI"
McHenry,"McHenry County, Illinois",17111,170616,176,"Chicago-Naperville, IL-IN-WI"
Putnam,"Putnam County, Illinois",17155,3159,176,"Chicago-Naperville, IL-IN-WI"
Will,"Will County, Illinois",17197,362694,176,"Chicago-Naperville, IL-IN-WI"
Jasper,"Jasper County, Indiana",18073,16257,176,"Chicago-Naperville, IL-IN-WI"
Lake,"Lake County, Indiana",18089,237739,176,"Chicago-Naperville, IL-IN-WI"
LaPorte,"LaPorte County, Indiana",18091,51851,176,"Chicago-Naperville, IL-IN-WI"
Newton,"Newton County, Indiana",18111,6790,176,"Chicago-Naperville, IL-IN-WI"
Porter,"Porter County, Indiana",18127,83782,176,"Chicago-Naperville, IL-IN-WI"
Anne Arundel,"Anne Arundel County, Maryland",24003,316151,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,"Baltimore County, Maryland",24005,444124,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Calvert,"Calvert County, Maryland",24009,49736,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Carroll,"Carroll County, Maryland",24013,92793,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Cecil,"Cecil County, Maryland",24015,53247,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Charles,"Charles County, Maryland",24017,83126,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Dorchester,"Dorchester County, Maryland",24019,16952,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,"Frederick County, Maryland",24021,136600,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Harford,"Harford County, Maryland",24025,137757,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Howard,"Howard County, Maryland",24027,174892,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,"Montgomery County, Maryland",24031,582122,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince George's,"Prince George's County, Maryland",24033,512949,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Queen Anne's,"Queen Anne's County, Maryland",24035,26902,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
St. Mary's,"St. Mary's County, Maryland",24037,58498,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Talbot,"Talbot County, Maryland",24041,18741,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Washington,"Washington County, Maryland",24043,72795,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Baltimore,"Baltimore city, Maryland",24510,310850,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Barnstable,"Barnstable County, Massachusetts",25001,110966,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Bristol,"Bristol County, Massachusetts",25005,297355,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Essex,"Essex County, Massachusetts",25009,419435,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Middlesex,"Middlesex County, Massachusetts",25017,897811,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Norfolk,"Norfolk County, Massachusetts",25021,385197,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Plymouth,"Plymouth County, Massachusetts",25023,276892,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Suffolk,"Suffolk County, Massachusetts",25025,447453,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Worcester,"Worcester County, Massachusetts",25027,440388,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Genesee,"Genesee County, Michigan",26049,186162,220,"Detroit-Warren-Ann Arbor, MI"
Lapeer,"Lapeer County, Michigan",26087,41884,220,"Detroit-Warren-Ann Arbor, MI"
Lenawee,"Lenawee County, Michigan",26091,46751,220,"Detroit-Warren-Ann Arbor, MI"
Livingston,"Livingston County, Michigan",26093,98615,220,"Detroit-Warren-Ann Arbor, MI"
Macomb,"Macomb County, Michigan",26099,442192,220,"Detroit-Warren-Ann Arbor, MI"
Monroe,"Monroe County, Michigan",26115,73354,220,"Detroit-Warren-Ann Arbor, MI"
Oakland,"Oakland County, Michigan",26125,660809,220,"Detroit-Warren-Ann Arbor, MI"
St. Clair,"St. Clair County, Michigan",26147,78175,220,"Detroit-Warren-Ann Arbor, MI"
Washtenaw,"Washtenaw County, Michigan",26161,192354,220,"Detroit-Warren-Ann Arbor, MI"
Wayne,"Wayne County, Michigan",26163,817120,220,"Detroit-Warren-Ann Arbor, MI"
Anoka,"Anoka County, Minnesota",27003,194590,378,"Minneapolis-St. Paul, MN-WI"
Benton,"Benton County, Minnesota",27009,21473,378,"Minneapolis-St. Paul, MN-WI"
Carver,"Carver County, Minnesota",27019,55790,378,"Minneapolis-St. Paul, MN-WI"
Chisago,"Chisago County, Minnesota",27025,29152,378,"Minneapolis-St. Paul, MN-WI"
Dakota,"Dakota County, Minnesota",27037,238373,378,"Minneapolis-St. Paul, MN-WI"
Goodhue,"Goodhue County, Minnesota",27049,25027,378,"Minneapolis-St. Paul, MN-WI"
Hennepin,"Hennepin County, Minnesota",27053,697092,378,"Minneapolis-St. Paul, MN-WI"
Isanti,"Isanti County, Minnesota",27059,21003,378,"Minneapolis-St. Paul, MN-WI"
Le Sueur,"Le Sueur County, Minnesota",27079,15384,378,"Minneapolis-St. Paul, MN-WI"
McLeod,"McLeod County, Minnesota",27085,20010,378,"Minneapolis-St. Paul, MN-WI"
Mille Lacs,"Mille Lacs County, Minnesota",27095,12808,378,"Minneapolis-St. Paul, MN-WI"
Ramsey,"Ramsey County, Minnesota",27123,289955,378,"Minneapolis-St. Paul, MN-WI"
Rice,"Rice County, Minnesota",27131,35678,378,"Minneapolis-St. Paul, MN-WI"
Scott,"Scott County, Minnesota",27139,79457,378,"Minneapolis-St. Paul, MN-WI"
Sherburne,"Sherburne County, Minnesota",27141,50816,378,"Minneapolis-St. Paul, MN-WI"
Sibley,"Sibley County, Minnesota",27143,8343,378,"Minneapolis-St. Paul, MN-WI"
Stearns,"Stearns County, Minnesota",27145,88529,378,"Minneapolis-St. Paul, MN-WI"
Washington,"Washington County, Minnesota",27163,137937,378,"Minneapolis-St. Paul, MN-WI"
Wright,"Wright County, Minnesota",27171,72899,378,"Minneapolis-St. Paul, MN-WI"
Belknap,"Belknap County, New Hampshire",33001,32416,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Hillsborough,"Hillsborough County, New Hampshire",33011,229975,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Merrimack,"Merrimack County, New Hampshire",33013,80609,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Rockingham,"Rockingham County, New Hampshire",33015,178340,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Strafford,"Strafford County, New Hampshire",33017,71938,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Atlantic,"Atlantic County, New Jersey",34001,145218,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bergen,"Bergen County, New Jersey",34003,494875,408,"New York-Newark, NY-NJ-CT-PA"
Burlington,"Burlington County, New Jersey",34005,244998,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Camden,"Camden County, New Jersey",34007,268919,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cape May,"Cape May County, New Jersey",34009,48081,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Cumberland,"Cumberland County, New Jersey",34011,69044,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Essex,"Essex County, New Jersey",34013,411519,408,"New York-Newark, NY-NJ-CT-PA"
Gloucester,"Gloucester County, New Jersey",34015,157043,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Hudson,"Hudson County, New Jersey",34017,376411,408,"New York-Newark, NY-NJ-CT-PA"
Hunterdon,"Hunterdon County, New Jersey",34019,69979,408,"New York-Newark, NY-NJ-CT-PA"
Mercer,"Mercer County, New Jersey",34021,196020,408,"New York-Newark, NY-NJ-CT-PA"
Middlesex,"Middlesex County, New Jersey",34023,433873,408,"New York-Newark, NY-NJ-CT-PA"
Monmouth,"Monmouth County, New Jersey",34025,332595,408,"New York-Newark, NY-NJ-CT-PA"
Morris,"Morris County, New Jersey",34027,276096,408,"New York-Newark, NY-NJ-CT-PA"
Ocean,"Ocean County, New Jersey",34029,270984,408,"New York-Newark, NY-NJ-CT-PA"
Passaic,"Passaic County, New Jersey",34031,252174,408,"New York-Newark, NY-NJ-CT-PA"
Salem,"Salem County, New Jersey",34033,32133,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Somerset,"Somerset County, New Jersey",34035,182040,408,"New York-Newark, NY-NJ-CT-PA"
Sussex,"Sussex County, New Jersey",34037,81515,408,"New York-Newark, NY-NJ-CT-PA"
Union,"Union County, New Jersey",34039,297293,408,"New York-Newark, NY-NJ-CT-PA"
Warren,"Warren County, New Jersey",34041,58803,408,"New York-Newark, NY-NJ-CT-PA"
Bronx,"Bronx County, New York",36005,659777,408,"New York-Newark, NY-NJ-CT-PA"
Dutchess,"Dutchess County, New York",36027,156286,408,"New York-Newark, NY-NJ-CT-PA"
Kings,"Kings County, New York",36047,1311082,408,"New York-Newark, NY-NJ-CT-PA"
Nassau,"Nassau County, New York",36059,714021,408,"New York-Newark, NY-NJ-CT-PA"
New York,"New York County, New York",36061,959120,408,"New York-Newark, NY-NJ-CT-PA"
Orange,"Orange County, New York",36071,188573,408,"New York-Newark, NY-NJ-CT-PA"
Putnam,"Putnam County, New York",36079,54636,408,"New York-Newark, NY-NJ-CT-PA"
Queens,"Queens County, New York",36081,1215483,408,"New York-Newark, NY-NJ-CT-PA"
Richmond,"Richmond County, New York",36085,223845,408,"New York-Newark, NY-NJ-CT-PA"
Rockland,"Rockland County, New York",36087,158875,408,"New York-Newark, NY-NJ-CT-PA"
Suffolk,"Suffolk County, New York",36103,785391,408,"New York-Newark, NY-NJ-CT-PA"
Sullivan,"Sullivan County, New York",36105,36332,408,"New York-Newark, NY-NJ-CT-PA"
Ulster,"Ulster County, New York",36111,93837,408,"New York-Newark, NY-NJ-CT-PA"
Westchester,"Westchester County, New York",36119,506693,408,"New York-Newark, NY-NJ-CT-PA"
Bryan,"Bryan County, Oklahoma",40013,19796,206,"Dallas-Fort Worth, TX-OK"
Berks,"Berks County, Pennsylvania",42011,216959,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bucks,"Bucks County, Pennsylvania",42017,344588,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Chester,"Chester County, Pennsylvania",42029,279408,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Delaware,"Delaware County, Pennsylvania",42045,293409,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Franklin,"Franklin County, Pennsylvania",42055,76747,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Montgomery,"Montgomery County, Pennsylvania",42091,447741,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Philadelphia,"Philadelphia County, Pennsylvania",42101,748923,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
Bristol,"Bristol County, Rhode Island",44001,26393,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,"Kent County, Rhode Island",44003,93842,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Newport,"Newport County, Rhode Island",44005,46506,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Providence,"Providence County, Rhode Island",44007,331586,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Washington,"Washington County, Rhode Island",44009,68958,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Austin,"Austin County, Texas",48015,14233,288,"Houston-The Woodlands, TX"
Brazoria,"Brazoria County, Texas",48039,166197,288,"Houston-The Woodlands, TX"
Chambers,"Chambers County, Texas",48071,17077,288,"Houston-The Woodlands, TX"
Collin,"Collin County, Texas",48085,480241,206,"Dallas-Fort Worth, TX-OK"
Cooke,"Cooke County, Texas",48097,19739,206,"Dallas-Fort Worth, TX-OK"
Dallas,"Dallas County, Texas",48113,1307358,206,"Dallas-Fort Worth, TX-OK"
Denton,"Denton County, Texas",48121,424430,206,"Dallas-Fort Worth, TX-OK"
Ellis,"Ellis County, Texas",48139,80777,206,"Dallas-Fort Worth, TX-OK"
Fort Bend,"Fort Bend County, Texas",48157,344382,288,"Houston-The Woodlands, TX"
Galveston,"Galveston County, Texas",48167,158024,288,"Houston-The Woodlands, TX"
Grayson,"Grayson County, Texas",48181,60174,206,"Dallas-Fort Worth, TX-OK"
Harris,"Harris County, Texas",48201,2291752,288,"Houston-The Woodlands, TX"
Henderson,"Henderson County, Texas",48213,32956,206,"Dallas-Fort Worth, TX-OK"
Hood,"Hood County, Texas",48221,23291,206,"Dallas-Fort Worth, TX-OK"
Hopkins,"Hopkins County, Texas",48223,16305,206,"Dallas-Fort Worth, TX-OK"
Hunt,"Hunt County, Texas",48231,40765,206,"Dallas-Fort Worth, TX-OK"
Johnson,"Johnson County, Texas",48251,75332,206,"Dallas-Fort Worth, TX-OK"
Kaufman,"Kaufman County, Texas",48257,55002,206,"Dallas-Fort Worth, TX-OK"
Liberty,"Liberty County, Texas",48291,31313,288,"Houston-The Woodlands, TX"
Matagorda,"Matagorda County, Texas",48321,17189,288,"Houston-The Woodlands, TX"
Montgomery,"Montgomery County, Texas",48339,252207,288,"Houston-The Woodlands, TX"
Navarro,"Navarro County, Texas",48349,22402,206,"Dallas-Fort Worth, TX-OK"
Palo Pinto,"Palo Pinto County, Texas",48363,12806,206,"Dallas-Fort Worth, TX-OK"
Parker,"Parker County, Texas",48367,61346,206,"Dallas-Fort Worth, TX-OK"
Rockwall,"Rockwall County, Texas",48397,45276,206,"Dallas-Fort Worth, TX-OK"
Somervell,"Somervell County, Texas",48425,3807,206,"Dallas-Fort Worth, TX-OK"
Tarrant,"Tarrant County, Texas",48439,1010529,206,"Dallas-Fort Worth, TX-OK"
Trinity,"Trinity County, Texas",48455,5348,288,"Houston-The Woodlands, TX"
Walker,"Walker County, Texas",48471,23858,288,"Houston-The Woodlands, TX"
Waller,"Waller County, Texas",48473,22441,288,"Houston-The Woodlands, TX"
Washington,"Washington County, Texas",48477,15429,288,"Houston-The Woodlands, TX"
Wharton,"Wharton County, Texas",48481,19523,288,"Houston-The Woodlands, TX"
Wise,"Wise County, Texas",48497,29012,206,"Dallas-Fort Worth, TX-OK"
Arlington,"Arlington County, Virginia",51013,149956,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Clarke,"Clarke County, Virginia",51043,7394,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Culpeper,"Culpeper County, Virginia",51047,24411,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,"Fairfax County, Virginia",51059,646463,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fauquier,"Fauquier County, Virginia",51061,36682,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Frederick,"Frederick County, Virginia",51069,44363,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Loudoun,"Loudoun County, Virginia",51107,203298,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Prince William,"Prince William County, Virginia",51153,244658,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Rappahannock,"Rappahannock County, Virginia",51157,3643,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Spotsylvania,"Spotsylvania County, Virginia",51177,67729,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Stafford,"Stafford County, Virginia",51179,73555,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Warren,"Warren County, Virginia",51187,19931,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Alexandria,"Alexandria city, Virginia",51510,99345,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fairfax,"Fairfax city, Virginia",51600,13312,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Falls Church,"Falls Church city, Virginia",51610,8180,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fredericksburg,"Fredericksburg city, Virginia",51630,15145,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas,"Manassas city, Virginia",51683,23274,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas Park,"Manassas Park city, Virginia",51685,8551,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Winchester,"Winchester city, Virginia",51840,13562,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Island,"Island County, Washington",53029,39452,500,"Seattle-Tacoma, WA"
King,"King County, Washington",53033,1175087,500,"Seattle-Tacoma, WA"
Kitsap,"Kitsap County, Washington",53035,129447,500,"Seattle-Tacoma, WA"
Lewis,"Lewis County, Washington",53041,32658,500,"Seattle-Tacoma, WA"
Mason,"Mason County, Washington",53045,25354,500,"Seattle-Tacoma, WA"
Pierce,"Pierce County, Washington",53053,422116,500,"Seattle-Tacoma, WA"
Skagit,"Skagit County, Washington",53057,57087,500,"Seattle-Tacoma, WA"
Snohomish,"Snohomish County, Washington",53061,407615,500,"Seattle-Tacoma, WA"
Thurston,"Thurston County, Washington",53067,134760,500,"Seattle-Tacoma, WA"
Berkeley,"Berkeley County, West Virginia",54003,56004,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Hampshire,"Hampshire County, West Virginia",54027,9700,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Jefferson,"Jefferson County, West Virginia",54037,29404,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Kenosha,"Kenosha County, Wisconsin",55059,88879,176,"Chicago-Naperville, IL-IN-WI"
Pierce,"Pierce County, Wisconsin",55093,23604,378,"Minneapolis-St. Paul, MN-WI"
St. Croix,"St. Croix County, Wisconsin",55109,48805,378,"Minneapolis-St. Paul, MN-WI"
