,Total_emp00,Total_emp08,Total_emp17,emp_NET00-08,emp_%00-08,emp_NET08-17,emp_%08-17
27095,9718,9695,9632,-23,-0.0023667421280098785,-63,-0.006498194945848376
27123,333247,330882,331665,-2365,-0.007096838081062995,783,0.0023664025241626925
27131,22263,23161,24912,898,0.04033598347033194,1751,0.0756012261992142
27139,34545,42976,52918,8431,0.24405847445361123,9942,0.23133842144452718
27141,18993,23145,25600,4152,0.21860685515716316,2455,0.10607042557787859
27143,4037,4130,4410,93,0.023036908595491703,280,0.06779661016949153
27145,76136,81861,86692,5725,0.07519438898812651,4831,0.059014671210955154
27163,67317,73686,84669,6369,0.09461205936093409,10983,0.14905138018076705
27171,28675,36953,43300,8278,0.28868352223190935,6347,0.17175872053689822
33001,25891,26786,25829,895,0.03456799660113553,-957,-0.03572761890539834
33011,193265,195995,201736,2730,0.014125682353245544,5741,0.029291563560294904
33013,70421,73950,76799,3529,0.05011289246105565,2849,0.03852603110209601
33015,129522,137160,149062,7638,0.058970676796219944,11902,0.08677456984543598
33017,43184,46534,48165,3350,0.07757502778806966,1631,0.03504964112262002
34001,140098,143962,123400,3864,0.027580693514539824,-20562,-0.14282935774718328
34003,447845,445567,443722,-2278,-0.005086581294867644,-1845,-0.004140791396131221
34005,179546,199752,204549,20206,0.11253940494357992,4797,0.02401477832512315
34007,199078,206519,203821,7441,0.03737730939631702,-2698,-0.013064173272192873
34009,38554,41634,41372,3080,0.0798879493697152,-262,-0.006292933659989432
34011,57490,61226,58953,3736,0.06498521481996869,-2273,-0.03712475092281057
34013,360537,357483,340496,-3054,-0.008470697875668794,-16987,-0.047518343529622385
34015,86716,102566,107550,15850,0.18278057105955073,4984,0.04859310102763099
34017,239167,236008,260164,-3159,-0.013208343960496222,24156,0.10235246262838547
34019,46631,49256,46912,2625,0.056293023954022005,-2344,-0.0475881110930648
34021,209484,229961,247445,20477,0.09774970880830994,17484,0.07603028339588017
34023,393646,398973,422763,5327,0.01353246317757579,23790,0.05962809513425721
34025,232026,256597,258894,24571,0.10589761492246559,2297,0.008951780418321337
34027,274704,285067,288157,10363,0.03772424136525133,3090,0.010839557016420701
34029,128434,150280,165638,21846,0.17009514614510177,15358,0.10219590098482832
34031,178179,174767,166186,-3412,-0.019149282463140998,-8581,-0.04909965840232996
34033,21351,22354,20962,1003,0.04697672240176104,-1392,-0.062270734544153175
34035,173311,173065,187219,-246,-0.0014194136552209613,14154,0.08178430069627018
34037,35578,39306,38258,3728,0.10478385519141042,-1048,-0.026662596041316846
34039,235537,231932,219341,-3605,-0.01530545094825866,-12591,-0.05428746356690754
34041,33762,36867,33438,3105,0.09196730051537232,-3429,-0.09301000895109447
36005,212988,226301,301247,13313,0.0625058688752418,74946,0.3311783863085006
36027,110123,115212,112155,5089,0.046211962986841985,-3057,-0.026533694406832623
36047,442676,479248,711873,36572,0.08261572798163894,232625,0.48539587019664143
36059,598578,602409,629006,3831,0.006400168399105881,26597,0.04415106680013081
36061,2385123,2376385,2461393,-8738,-0.0036635427187612546,85008,0.03577198139190409
36071,119668,130909,142550,11241,0.09393488651937026,11641,0.08892436730858841
36079,21656,25703,26523,4047,0.18687661618027337,820,0.03190289071314632
36081,479969,503780,662527,23811,0.049609453943900546,158747,0.3151117551312081
36085,88212,93631,115831,5419,0.06143155126286673,22200,0.23710096015208637
36087,106165,116132,123811,9967,0.09388216455517355,7679,0.06612303241139393
36103,577862,623469,660084,45607,0.07892368766245228,36615,0.05872785976528103
36105,24481,25929,26774,1448,0.05914791062456599,845,0.03258899301939913
36111,61885,60559,60388,-1326,-0.02142684010664943,-171,-0.002823692597301805
36119,403444,421226,426170,17782,0.0440755098601045,4944,0.01173716722139659
40013,12299,15675,17566,3376,0.27449386128953573,1891,0.12063795853269538
42011,168298,168363,171379,65,0.00038621968175498226,3016,0.017913674619720484
42017,243972,261995,263466,18023,0.07387323135441771,1471,0.005614610965858127
42029,216722,243985,249630,27263,0.12579710412417752,5645,0.023136668237801503
42045,212238,210693,222510,-1545,-0.007279563508890962,11817,0.05608634363742507
42055,48649,58538,58172,9889,0.20327242081029415,-366,-0.006252348901568212
42091,480559,489529,492934,8970,0.018665762164479283,3405,0.00695566554790421
42101,666957,633664,673048,-33293,-0.049917760815164997,39384,0.062152812847187155
44001,13218,14968,13699,1750,0.1323952186412468,-1269,-0.08478086584714056
44003,74841,78409,75056,3568,0.04767440306783715,-3353,-0.042762948130954354
44005,36975,39629,40159,2654,0.07177822853279242,530,0.013374044260516289
44007,290158,279663,285569,-10495,-0.03616994878652321,5906,0.021118274494659642
44009,43026,49749,52874,6723,0.1562543578301492,3125,0.06281533297151702
48015,8065,12200,10018,4135,0.5127092374457533,-2182,-0.17885245901639343
48039,75325,87018,106978,11693,0.15523398606040492,19960,0.22937782987427888
48071,7073,10379,13924,3306,0.4674112823412979,3545,0.3415550631081993
48085,167642,295097,398536,127455,0.7602808365445414,103439,0.35052542045496904
48097,12610,16207,14142,3597,0.2852498017446471,-2065,-0.12741408033565743
48113,1565365,1489792,1685333,-75573,-0.04827819709780147,195541,0.13125389316092448
48121,119332,168766,239187,49434,0.41425602520698557,70421,0.4172700662455708
48139,33228,39222,49371,5994,0.18039003250270855,10149,0.258757839987762
48157,87584,129185,178763,41601,0.4749840153452685,49578,0.3837752060997794
48167,86756,95650,109977,8894,0.10251740513624417,14327,0.14978567694720335
48181,44363,42661,45875,-1702,-0.03836530442035029,3214,0.07533813084550292
48201,1840152,2059034,2272758,218882,0.11894778257448298,213724,0.10379818885943602
48213,15738,16217,16886,479,0.0304358876604397,669,0.04125300610470494
48221,9431,12945,15539,3514,0.37260099671296787,2594,0.20038624951718811
48223,10911,11860,12566,949,0.08697644578865366,706,0.05952782462057336
48231,25002,29131,29567,4129,0.16514678825693946,436,0.014966873777075966
48251,32525,40894,46572,8369,0.2573097617217525,5678,0.1388467745879591
48257,21430,26402,31252,4972,0.23201119925338312,4850,0.18369820468146353
48291,15466,17640,16961,2174,0.14056640372429846,-679,-0.038492063492063494
48321,11528,11017,10809,-511,-0.04432685634975711,-208,-0.018879912861940636
48339,76764,126492,175953,49728,0.647803657964671,49461,0.39102077601745566
48349,16522,15981,16270,-541,-0.032744219828107976,289,0.018083974719979978
48363,8410,8656,8648,246,0.02925089179548157,-8,-0.0009242144177449168
48367,18083,26458,32071,8375,0.46314217773599514,5613,0.2121475546148613
48397,13482,20089,29562,6607,0.4900608218365228,9473,0.4715515954004679
48425,3637,4926,3805,1289,0.35441297772889746,-1121,-0.22756800649614292
48439,702288,769935,873867,67647,0.09632373043537694,103932,0.13498801846909156
48455,2424,2431,2288,7,0.0028877887788778876,-143,-0.058823529411764705
48471,22568,23065,24547,497,0.022022332506203474,1482,0.06425319748536744
48473,9749,13493,16276,3744,0.38403938865524667,2783,0.20625509523456606
48477,13437,14443,14685,1006,0.07486790206147205,242,0.016755521706016754
48481,14902,15326,15578,424,0.02845255670379815,252,0.016442646483100613
48497,12223,20562,19421,8339,0.6822384030107175,-1141,-0.055490711020328765
51013,158242,156333,176659,-1909,-0.01206380101363734,20326,0.13001733479175862
51043,4558,4298,3995,-260,-0.05704256252742431,-303,-0.070497906002792
51047,13061,15399,15769,2338,0.17900620166909118,370,0.024027534255471134
51059,537746,585727,601868,47981,0.08922614022233545,16141,0.027557206685025617
51061,17139,21395,22116,4256,0.24832253923799522,721,0.03369946249123627
51069,17334,23730,31265,6396,0.3689858082381447,7535,0.31753055204382635
51107,87369,132938,164537,45569,0.5215694353832595,31599,0.23769727241270366
51153,77934,103717,127892,25783,0.3308312161572613,24175,0.23308618644966592
51157,1380,1471,1535,91,0.06594202898550725,64,0.043507817811012914
51177,23477,29950,35773,6473,0.2757166588576053,5823,0.19442404006677796
51179,24247,35228,43007,10981,0.4528807687548975,7779,0.22081866696945612
51187,10024,12142,12284,2118,0.21129289704708698,142,0.011694943172459232
51510,91892,100598,93774,8706,0.09474165324511383,-6824,-0.0678343505835106
51600,16795,20526,19200,3731,0.22214944924084548,-1326,-0.06460099386144402
51610,14517,12664,12102,-1853,-0.12764345250396086,-562,-0.044377763739734684
51630,23136,26131,24901,2995,0.12945193637621025,-1230,-0.04707052925643871
51683,19870,24166,22358,4296,0.21620533467539005,-1808,-0.07481585698915832
51685,3912,3299,3508,-613,-0.15669734151329243,209,0.06335253107002121
51840,28654,27132,25214,-1522,-0.05311649333426398,-1918,-0.07069143446852426
53029,14071,15647,16375,1576,0.11200341127140928,728,0.04652649070109286
53033,1166495,1189512,1356141,23017,0.019731760530478055,166629,0.14008181506365636
53035,71847,83795,87299,11948,0.1662978273275154,3504,0.041816337490303716
53041,25002,25177,25708,175,0.006999440044796417,531,0.02109067799976169
53045,12075,14392,14024,2317,0.1918840579710145,-368,-0.02556976097832129
53053,237077,273864,302409,36787,0.15516899572712664,28545,0.10423056699675752
53057,43881,48695,50695,4814,0.10970579521888744,2000,0.0410719786425711
53061,209569,253491,283975,43922,0.20958252413286316,30484,0.1202567349531147
53067,84339,101168,113264,16829,0.19953995186094214,12096,0.11956349833939586
54003,25802,29661,33663,3859,0.14956204945353074,4002,0.13492464852837058
54027,3735,4121,3742,386,0.1033467202141901,-379,-0.09196796893957777
54037,12776,14337,15448,1561,0.12218221665623043,1111,0.07749180442212457
55059,50952,54781,66392,3829,0.07514915999371959,11611,0.21195304941494314
55093,9283,9328,10026,45,0.004847570828395992,698,0.07482847341337907
55109,25792,28959,33521,3167,0.1227900124069479,4562,0.15753306398701614
