County_name,STCO,LaborForce00,PrimeAge00,Over65_00,55-64_00,Under25_00,LaborForce,PrimeAge,Over65,55-64,Under25,over65_%_16,over65_%_00,over65_%change,NET_LaborTotal,%_LaborTotal,NET_PrimeAge,%_PrimeAge,NET_Over65,%_Over65,NET_55-64,%_55-64,NET_Under25,%_Under25,CSA,CSA_name
Gilpin,08047,3150,2516,68,283,283,3260,2046,185,896,133,0.05674846625766871,0.02158730158730159,0.03516116467036712,110,0.03492063492063492,-470,-0.18680445151033387,110,1.7205882352941178,613,2.166077738515901,-150,-0.5300353356890459,216,"Denver-Aurora, CO"
Jefferson,08059,300673,219841,8416,31042,41374,317010,201784,16850,58905,39471,0.053152897384940535,0.027990541219198264,0.02516235616574227,16337,0.05433477565328446,-18057,-0.08213663511355934,16337,1.002138783269962,27863,0.8975903614457831,-1903,-0.045995069367235464,216,"Denver-Aurora, CO"
Park,08093,8134,6586,131,715,702,9243,5535,611,2440,657,0.06610407876230662,0.016105237275633146,0.04999884148667347,1109,0.13634128350135236,-1051,-0.1595809292438506,1109,3.66412213740458,1725,2.4125874125874125,-45,-0.0641025641025641,216,"Denver-Aurora, CO"
Weld,08123,92841,62861,2523,8405,19052,142756,93388,6248,21827,21293,0.04376698702681499,0.027175493585807994,0.016591493441006994,49915,0.5376396204263203,30527,0.4856270183420563,49915,1.4764169639318272,13422,1.5969066032123735,2241,0.1176254461473861,216,"Denver-Aurora, CO"
Fairfield,09001,448096,322676,20103,54243,51074,510737,321045,32236,92020,65436,0.06311663341406634,0.044863154324073416,0.018253479089992926,62641,0.1397937049203742,-1631,-0.005054605858508225,62641,0.6035417599363279,37777,0.6964400936526373,14362,0.2811998277009829,408,"New York-Newark, NY-NJ-CT-PA"
Litchfield,09005,99482,72360,4016,12415,10691,105511,61725,7844,23346,12596,0.07434295950185289,0.040369112000160835,0.03397384750169206,6029,0.06060392834884703,-10635,-0.14697346600331676,6029,0.953187250996016,10931,0.8804671768022554,1905,0.1781872603124123,408,"New York-Newark, NY-NJ-CT-PA"
New Haven,09009,421514,298581,15880,47372,59681,461510,287465,27891,83051,63103,0.06043422677731793,0.03767371902238122,0.02276050775493671,39996,0.09488652808684883,-11116,-0.037229428530281564,39996,0.756360201511335,35679,0.7531664274254835,3422,0.057338181330741776,408,"New York-Newark, NY-NJ-CT-PA"
Windham,09015,58654,41388,1586,5748,9932,64506,40018,2821,11482,10185,0.04373236598145909,0.027039929075595867,0.016692436905863223,5852,0.09977154158284175,-1370,-0.03310138204310428,5852,0.7786885245901639,5734,0.9975643702157272,253,0.025473217881594845,148,"Boston-Worcester-Providence, MA-RI-NH-CT"
Kent,10001,64387,44643,2109,6360,11275,85082,54239,4164,12998,13681,0.04894102160268917,0.03275505925109106,0.01618596235159811,20695,0.3214158137512231,9596,0.2149497121609211,20695,0.9743954480796586,6638,1.0437106918238994,2406,0.21339246119733923,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
New Castle,10003,263440,187766,7883,25773,42018,290713,190785,13882,47833,38213,0.04775156253762302,0.029923322198603098,0.017828240339019922,27273,0.10352641967810507,3019,0.01607852326832334,27273,0.7610046936445516,22060,0.8559345051022388,-3805,-0.0905564281974392,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
District of Columbia,11001,298225,206426,10559,29125,52115,385056,275457,17420,43591,48588,0.0452401728579739,0.03540615307234471,0.009834019785629193,86831,0.2911593595439685,69031,0.3344103940395105,86831,0.6497774410455536,14466,0.49668669527896997,-3527,-0.06767725223064378,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Broward,12011,803157,589304,35012,83708,95133,998427,664912,54542,166025,112948,0.05462792973347075,0.04359297123725498,0.011034958496215767,195270,0.24312805590936765,75608,0.1283005036449778,195270,0.5578087512852736,82317,0.983382711329861,17815,0.18726414598509455,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Indian River,12061,47737,31157,4283,6226,6071,60255,34862,5169,12943,7281,0.08578541199900423,0.08972076167333515,-0.003935349674330915,12518,0.2622284601043216,3705,0.11891388772988414,12518,0.20686434742003268,6717,1.0788628332797945,1210,0.19930818646022072,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Martin,12085,53332,35919,3688,7714,6011,68328,38759,6540,14915,8114,0.09571478749560941,0.06915172879321983,0.026563058702389578,14996,0.2811820295507388,2840,0.07906678916450903,14996,0.7733188720173536,7201,0.9334975369458128,2103,0.3498585925802695,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Miami-Dade,12086,1010965,705936,45041,116021,143967,1351925,937749,63329,202105,148742,0.04684357490245391,0.044552482034491796,0.0022910928679621134,340960,0.33726192301414987,231813,0.32837679336370434,340960,0.40603006149952264,86084,0.7419691262788634,4775,0.03316732306709176,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Okeechobee,12093,14870,9731,768,1643,2728,15186,10052,674,2448,2012,0.044382984327670225,0.051647612642905176,-0.007264628315234951,316,0.02125084061869536,321,0.0329873599835577,316,-0.12239583333333333,805,0.48995739500912966,-716,-0.2624633431085044,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Palm Beach,12099,510379,356246,32037,59299,62797,694060,435322,51844,119627,87267,0.07469671209981846,0.06277099959050039,0.011925712509318065,183681,0.3598913748410495,79076,0.22197021159535826,183681,0.6182538939351375,60328,1.0173527378201994,24470,0.3896682962561906,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
St. Lucie,12111,82208,56462,4435,10338,10973,129683,81717,8951,21959,17056,0.06902215402172991,0.05394852082522382,0.015073633196506092,47475,0.5774985402880498,25255,0.4472919839892317,47475,1.0182638105975197,11621,1.1241052427935772,6083,0.5543607035450652,370,"Miami-Fort Lauderdale-Port St. Lucie, FL"
Barrow,13013,23898,17757,658,1964,3519,35655,24830,1521,4714,4590,0.04265881363062684,0.02753368482718219,0.01512512880344465,11757,0.49196585488325384,7073,0.39832178859041506,11757,1.3115501519756838,2750,1.4002036659877801,1071,0.30434782608695654,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bartow,13015,38215,28099,873,3661,5582,49070,33136,1758,7315,6861,0.035826370491135115,0.02284443281433992,0.012981937676795195,10855,0.28405076540625407,5037,0.1792590483647105,10855,1.013745704467354,3654,0.9980879541108987,1279,0.22912934432103188,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Butts,13035,8457,5941,174,1046,1296,9499,6054,546,1664,1235,0.05747973470891673,0.020574671869457255,0.036905062839459477,1042,0.1232115407354854,113,0.019020366941592325,1042,2.1379310344827585,618,0.5908221797323135,-61,-0.0470679012345679,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Carroll,13045,42630,28774,989,4130,8737,54324,34277,1977,7262,10808,0.03639275458360945,0.02319962467745719,0.013193129906152262,11694,0.27431386347642506,5503,0.19124904427608258,11694,0.9989888776541962,3132,0.7583535108958838,2071,0.23703788485750257,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cherokee,13057,77534,58976,1523,6726,10309,120535,82213,5238,17867,15217,0.04345625751856307,0.01964299533108056,0.023813262187482514,43001,0.5546083008744551,23237,0.3940077319587629,43001,2.439264609323703,11141,1.6564079690752305,4908,0.4760888543990688,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clarke,13059,55218,29954,1192,3781,20291,61444,34759,2264,6367,18054,0.03684655946878458,0.021587163606070485,0.015259395862714097,6226,0.11275308776123728,4805,0.16041263270347866,6226,0.8993288590604027,2586,0.6839460460195715,-2237,-0.11024592183726775,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Clayton,13063,122396,90913,2121,8715,20647,134017,93736,3885,17159,19237,0.028988859622286724,0.017328997679662735,0.01165986194262399,11621,0.09494591326513939,2823,0.031051664778414527,11621,0.8316831683168316,8444,0.9689041881812966,-1410,-0.06829079285126169,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Cobb,13067,343473,258830,6781,28684,49178,403059,273719,16879,60554,51907,0.04187724377820617,0.01974245428316054,0.022134789495045628,59586,0.1734808849603899,14889,0.057524243712089015,59586,1.489160890724082,31870,1.1110723748431182,2729,0.055492293301882954,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Coweta,13077,46015,34276,940,4502,6297,69101,46446,3126,10435,9094,0.045238129694215715,0.020428121264804956,0.02481000842941076,23086,0.5017059654460502,12170,0.35505893336445327,23086,2.325531914893617,5933,1.3178587294535762,2797,0.4441797681435604,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Dawson,13085,8454,6103,294,966,1091,11200,6944,715,1965,1576,0.06383928571428571,0.0347764371894961,0.02906284852478961,2746,0.32481665483794653,841,0.13780108143535966,2746,1.4319727891156462,999,1.0341614906832297,485,0.44454628780934924,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
DeKalb,13089,368086,273389,9257,28703,56737,392376,276670,14678,54697,46331,0.03740799641160519,0.025149014089098743,0.01225898232250645,24290,0.06599001320343616,3281,0.012001214386826097,24290,0.5856108890569299,25994,0.905619621642337,-10406,-0.18340765285439836,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Douglas,13097,48921,36341,911,4504,7165,70886,49166,2216,9914,9590,0.031261462065852216,0.01862185973303898,0.012639602332813235,21965,0.44898918664786086,12825,0.3529071847224898,21965,1.4324917672886937,5410,1.2011545293072825,2425,0.33845080251221216,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fayette,13113,47090,34953,1115,5554,5468,54556,32997,3328,11186,7045,0.06100153970232422,0.023678063283074962,0.037323476419249255,7466,0.15854746230622213,-1956,-0.05596086172860699,7466,1.9847533632286996,5632,1.0140439323010444,1577,0.2884052670080468,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Forsyth,13117,52904,41222,1002,4961,5719,103531,73354,3962,14666,11549,0.03826873110469328,0.018939966732194162,0.01932876437249912,50627,0.9569597761983971,32132,0.7794866818689049,50627,2.9540918163672654,9705,1.956258818786535,5830,1.0194089875852421,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Fulton,13121,431553,313796,11295,34987,71475,532926,376947,19104,67975,68900,0.03584737843527994,0.026172915030135347,0.009674463405144596,101373,0.23490278135014703,63151,0.2012485818812222,101373,0.6913678618857901,32988,0.9428644925257953,-2575,-0.0360265827212312,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gordon,13129,23282,16080,755,2541,3906,26030,17828,1174,3779,3249,0.04510180560891279,0.03242848552529851,0.012673320083614277,2748,0.11803109698479512,1748,0.10870646766169154,2748,0.5549668874172186,1238,0.48720975993703264,-657,-0.16820276497695852,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Gwinnett,13135,325379,250753,5342,24958,44326,457651,320620,15082,66238,55711,0.032955243187494404,0.016417777422636372,0.016537465764858032,132272,0.4065167082079667,69867,0.2786287701443253,132272,1.8232871583676526,41280,1.6539786841894382,11385,0.256846997247665,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Hall,13139,69294,48550,1988,6535,12221,91543,60458,4210,13463,13412,0.045989316496072886,0.02868935261350189,0.017299963882570997,22249,0.32108119029064563,11908,0.24527291452111225,22249,1.1177062374245472,6928,1.0601377199693955,1191,0.09745520006546109,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Haralson,13143,11751,8159,378,1306,1908,12668,8406,797,1625,1840,0.06291443005999368,0.0321674751085014,0.03074695495149228,917,0.07803591183729044,247,0.03027331780855497,917,1.1084656084656084,319,0.2442572741194487,-68,-0.03563941299790356,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Heard,13149,4902,3614,165,446,677,5226,3482,182,896,666,0.03482587064676617,0.033659730722154224,0.001166139924611946,324,0.06609547123623011,-132,-0.036524626452684006,324,0.10303030303030303,450,1.0089686098654709,-11,-0.01624815361890694,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Henry,13151,63081,48300,1165,5183,8433,105927,74627,3166,14282,13852,0.029888508123519026,0.018468318511120622,0.011420189612398404,42846,0.6792219527274457,26327,0.5450724637681159,42846,1.717596566523605,9099,1.7555469805132162,5419,0.6425945689552947,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jackson,13157,20237,14370,660,2276,2931,28914,20087,1158,4267,3402,0.04004980286366466,0.032613529673370556,0.007436273190294107,8677,0.42876908632702476,5717,0.3978427279053584,8677,0.7545454545454545,1991,0.874780316344464,471,0.16069600818833163,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Jasper,13159,5517,4047,204,523,743,6159,3994,326,1065,774,0.05293067056340315,0.036976617727025554,0.015954052836377595,642,0.11636759108210984,-53,-0.01309612058314801,642,0.5980392156862745,542,1.0363288718929253,31,0.04172274562584118,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Lamar,13171,7667,5272,312,725,1358,7855,4800,280,1537,1238,0.03564608529598982,0.040693882874657625,-0.005047797578667808,188,0.024520673014216773,-472,-0.08952959028831563,188,-0.10256410256410256,812,1.12,-120,-0.08836524300441827,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Madison,13195,12849,9201,377,1499,1772,12558,8042,669,2140,1707,0.05327281414237936,0.02934080473188575,0.02393200941049361,-291,-0.02264767686201261,-1159,-0.1259645690685795,-291,0.7745358090185677,641,0.4276184122748499,-65,-0.03668171557562077,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Meriwether,13199,9845,7024,334,1127,1360,8848,5641,571,1667,969,0.06453435804701628,0.03392585068562722,0.030608507361389058,-997,-0.10126968004062976,-1383,-0.19689635535307518,-997,0.7095808383233533,540,0.47914818101153506,-391,-0.2875,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Morgan,13211,7812,5464,274,924,1150,8429,5214,551,1590,1074,0.06536955748012813,0.0350742447516641,0.030295312728464023,617,0.0789810547875064,-250,-0.04575402635431918,617,1.010948905109489,666,0.7207792207792207,-76,-0.06608695652173913,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Newton,13217,30745,21955,712,3144,4934,50089,33804,1683,6790,7812,0.03360019165884725,0.023158237111725485,0.010441954547121764,19344,0.6291754756871036,11849,0.5396948303347757,19344,1.3637640449438202,3646,1.1596692111959288,2878,0.5832995541143089,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oconee,13219,13596,10100,442,1458,1596,17698,11383,1005,3278,2032,0.05678607752288394,0.03250956163577523,0.02427651588710871,4102,0.3017063842306561,1283,0.12702970297029703,4102,1.2737556561085972,1820,1.2482853223593964,436,0.2731829573934837,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Oglethorpe,13221,6190,4460,201,686,843,6706,4511,363,1202,630,0.05413062928720549,0.03247172859450727,0.02165890069269822,516,0.08336025848142165,51,0.011434977578475336,516,0.8059701492537313,516,0.7521865889212828,-213,-0.2526690391459075,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Paulding,13223,42755,33653,502,2929,5671,76573,54779,2012,9562,10220,0.026275580165332428,0.01174131680505204,0.014534263360280388,33818,0.7909718161618524,21126,0.627759783674561,33818,3.00796812749004,6633,2.2645954250597473,4549,0.802151296067713,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pickens,13227,11542,8108,355,1448,1631,13703,8824,970,2207,1702,0.07078741881339852,0.03075723444810258,0.04003018436529594,2161,0.18722924969675966,716,0.08830784410458806,2161,1.732394366197183,759,0.524171270718232,71,0.043531575720416923,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Pike,13231,6544,4682,258,696,908,8275,5512,334,1341,1088,0.040362537764350455,0.03942542787286064,0.0009371098914898179,1731,0.2645171149144254,830,0.17727466894489535,1731,0.29457364341085274,645,0.9267241379310345,180,0.19823788546255505,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Polk,13233,16937,11978,505,1680,2774,18285,12254,697,2787,2547,0.038118676510801204,0.029816378343272127,0.008302298167529077,1348,0.07958906535986301,276,0.023042244114209385,1348,0.3801980198019802,1107,0.6589285714285714,-227,-0.081831290555155,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Rockdale,13247,35166,25661,836,3525,5144,41941,28064,1501,7249,5127,0.03578836937602823,0.023772962520616503,0.012015406855411727,6775,0.19265768071432635,2403,0.09364405128404972,6775,0.7954545454545454,3724,1.05645390070922,-17,-0.0033048211508553654,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Spalding,13255,27148,19041,932,2598,4577,26819,17804,1350,3823,3842,0.050337447332115294,0.03433033740975394,0.016007109922361352,-329,-0.012118756446147046,-1237,-0.06496507536368888,-329,0.44849785407725323,1225,0.47151655119322555,-735,-0.16058553637753986,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Troup,13285,28151,19458,1098,2793,4802,33077,21323,1347,5139,5268,0.04072316110892765,0.039003943021562286,0.0017192180873653665,4926,0.1749849028453696,1865,0.09584746633775311,4926,0.226775956284153,2346,0.8399570354457573,466,0.09704289879216993,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Upson,13293,12402,8486,342,1547,2027,11235,7066,462,2049,1658,0.041121495327102804,0.027576197387518143,0.013545297939584661,-1167,-0.09409772617319787,-1420,-0.16733443318406788,-1167,0.3508771929824561,502,0.32449903038138334,-369,-0.1820424272323631,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Walton,13297,30409,22465,740,2873,4331,41699,27929,1827,6543,5400,0.04381400033573946,0.02433490085172153,0.019479099484017933,11290,0.3712716629945082,5464,0.24322279100823505,11290,1.468918918918919,3670,1.2774103724329968,1069,0.24682521357654122,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA"
Bureau,17011,18213,12428,841,2241,2703,17376,10351,1078,3578,2369,0.06203959484346225,0.04617580848844232,0.015863786355019928,-837,-0.04595618514248065,-2077,-0.16712262632764724,-837,0.28180737217598095,1337,0.5966086568496207,-334,-0.12356640769515354,176,"Chicago-Naperville, IL-IN-WI"
Cook,17031,2620175,1855520,87102,260202,417351,2759566,1878606,117700,409194,354066,0.0426516343511987,0.033242817750722756,0.009408816600475947,139391,0.053199118379497555,23086,0.012441795291885832,139391,0.3512892930127896,148992,0.5726012866926464,-63285,-0.15163495475031807,176,"Chicago-Naperville, IL-IN-WI"
DeKalb,17037,48904,29628,1309,4005,13962,57748,32682,2064,7511,15491,0.03574149754104038,0.026766726648126942,0.008974770892913441,8844,0.18084410273188287,3054,0.10307816929931146,8844,0.5767761650114591,3506,0.8754057428214732,1529,0.1095115312992408,176,"Chicago-Naperville, IL-IN-WI"
DuPage,17043,492352,357813,13913,52724,67902,514364,326858,27666,93587,66253,0.053786812451882327,0.02825823800857923,0.025528574443303097,22012,0.044707851293383595,-30955,-0.08651166950334392,22012,0.9884999640623877,40863,0.7750360367195205,-1649,-0.02428499896910253,176,"Chicago-Naperville, IL-IN-WI"
Grundy,17063,19468,13721,493,1860,3394,26244,17540,953,3839,3912,0.036313062033226644,0.025323607972056707,0.010989454061169936,6776,0.34805835216765973,3819,0.2783324830551709,6776,0.9330628803245437,1979,1.063978494623656,518,0.15262227460223923,176,"Chicago-Naperville, IL-IN-WI"
Kane,17089,206024,148174,5235,18939,33676,277674,181212,12219,43001,41242,0.044004840208301824,0.025409661010367724,0.0185951791979341,71650,0.3477750165029317,33038,0.22296759215516893,71650,1.3340974212034384,24062,1.270500026400549,7566,0.22467038840717424,176,"Chicago-Naperville, IL-IN-WI"
Kankakee,17091,51561,35150,1784,5206,9421,54797,34365,2719,9219,8494,0.049619504717411535,0.034599794418261866,0.015019710299149669,3236,0.06276061364209383,-785,-0.02233285917496444,3236,0.524103139013453,4013,0.7708413369189396,-927,-0.09839719774970809,176,"Chicago-Naperville, IL-IN-WI"
Kendall,17093,29697,21700,740,3089,4168,66123,46537,2684,8377,8525,0.04059101976619331,0.024918341920059265,0.015672677846134044,36426,1.2265885442974038,24837,1.1445622119815668,36426,2.627027027027027,5288,1.7118808675946908,4357,1.045345489443378,176,"Chicago-Naperville, IL-IN-WI"
Lake,17097,337181,241294,10285,33134,52468,379883,236379,18637,65911,58956,0.049059842109281014,0.030502904967954898,0.018556937141326117,42702,0.12664414661561593,-4915,-0.020369341964574336,42702,0.8120563928050559,32777,0.9892255689020342,6488,0.12365632385453991,176,"Chicago-Naperville, IL-IN-WI"
