County_name,1-2units_00,+3units_00,1-2units,+3units,CSA,CSA_name,STCO
Macomb,29787,4969,11220,2880,220,"Detroit-Warren-Ann Arbor, MI",26099
Monroe,6051,1274,1826,422,220,"Detroit-Warren-Ann Arbor, MI",26115
Oakland,30589,5869,16856,3520,220,"Detroit-Warren-Ann Arbor, MI",26125
St. Clair,5944,182,1137,201,220,"Detroit-Warren-Ann Arbor, MI",26147
Washtenaw,12772,1897,3479,1085,220,"Detroit-Warren-Ann Arbor, MI",26161
Wayne,23958,9285,7236,4302,220,"Detroit-Warren-Ann Arbor, MI",26163
Anoka,16995,1166,7092,1350,378,"Minneapolis-St. Paul, MN-WI",27003
Benton,2120,256,689,370,378,"Minneapolis-St. Paul, MN-WI",27009
Carver,6869,2297,4618,547,378,"Minneapolis-St. Paul, MN-WI",27019
Chisago,3794,71,1241,56,378,"Minneapolis-St. Paul, MN-WI",27025
Dakota,15661,7160,7822,3019,378,"Minneapolis-St. Paul, MN-WI",27037
Goodhue,2278,157,650,60,378,"Minneapolis-St. Paul, MN-WI",27049
Hennepin,20104,19139,13365,24222,378,"Minneapolis-St. Paul, MN-WI",27053
Isanti,3496,461,944,169,378,"Minneapolis-St. Paul, MN-WI",27059
Le Sueur,1341,140,482,0,378,"Minneapolis-St. Paul, MN-WI",27079
McLeod,1721,95,345,123,378,"Minneapolis-St. Paul, MN-WI",27085
Mille Lacs,1922,41,380,12,378,"Minneapolis-St. Paul, MN-WI",27095
Ramsey,4459,6963,1947,4738,378,"Minneapolis-St. Paul, MN-WI",27123
Rice,3642,496,964,158,378,"Minneapolis-St. Paul, MN-WI",27131
Scott,12992,1701,4825,1166,378,"Minneapolis-St. Paul, MN-WI",27139
Sherburne,8533,348,2075,141,378,"Minneapolis-St. Paul, MN-WI",27141
Sibley,519,8,153,12,378,"Minneapolis-St. Paul, MN-WI",27143
Stearns,8413,1385,3009,2310,378,"Minneapolis-St. Paul, MN-WI",27145
Washington,14573,2002,6586,2395,378,"Minneapolis-St. Paul, MN-WI",27163
Wright,13118,609,4288,172,378,"Minneapolis-St. Paul, MN-WI",27171
Belknap,3938,221,1643,364,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33001
Hillsborough,11520,3017,4965,2828,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33011
Merrimack,6117,670,2072,377,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33013
Rockingham,10010,2424,6069,1894,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33015
Strafford,4585,877,2460,924,148,"Boston-Worcester-Providence, MA-RI-NH-CT",33017
Atlantic,13511,1210,4188,2550,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34001
Bergen,10228,7693,9084,13447,408,"New York-Newark, NY-NJ-CT-PA",34003
Burlington,12773,3165,5294,3128,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34005
Camden,7347,2793,2830,6504,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34007
Cape May,10319,2684,5209,442,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34009
Cumberland,3643,168,1936,170,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34011
Essex,9776,7695,3811,12849,408,"New York-Newark, NY-NJ-CT-PA",34013
Gloucester,11324,1495,5262,1864,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34015
Hudson,5866,15900,2696,29764,408,"New York-Newark, NY-NJ-CT-PA",34017
Hunterdon,4321,216,1532,1296,408,"New York-Newark, NY-NJ-CT-PA",34019
Mercer,7645,2093,2093,3868,408,"New York-Newark, NY-NJ-CT-PA",34021
Middlesex,12728,5913,7759,10003,408,"New York-Newark, NY-NJ-CT-PA",34023
Monmouth,15398,4922,8448,4808,408,"New York-Newark, NY-NJ-CT-PA",34025
Morris,8531,5851,5465,6808,408,"New York-Newark, NY-NJ-CT-PA",34027
Ocean,25199,2803,16542,3054,408,"New York-Newark, NY-NJ-CT-PA",34029
Passaic,3575,2051,1917,2960,408,"New York-Newark, NY-NJ-CT-PA",34031
Salem,1635,260,543,274,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",34033
Somerset,6952,4123,4390,5111,408,"New York-Newark, NY-NJ-CT-PA",34035
Sussex,4670,365,1498,604,408,"New York-Newark, NY-NJ-CT-PA",34037
Union,5986,2613,3909,7418,408,"New York-Newark, NY-NJ-CT-PA",34039
Warren,4693,380,1474,626,408,"New York-Newark, NY-NJ-CT-PA",34041
Bronx,5319,21711,1004,26466,408,"New York-Newark, NY-NJ-CT-PA",36005
Dutchess,6778,1456,2884,1170,408,"New York-Newark, NY-NJ-CT-PA",36027
Kings,7946,45206,1815,69250,408,"New York-Newark, NY-NJ-CT-PA",36047
Nassau,7192,2152,5781,3505,408,"New York-Newark, NY-NJ-CT-PA",36059
New York,100,53116,72,47866,408,"New York-Newark, NY-NJ-CT-PA",36061
Orange,11025,2945,4740,4754,408,"New York-Newark, NY-NJ-CT-PA",36071
Putnam,1783,212,510,245,408,"New York-Newark, NY-NJ-CT-PA",36079
Queens,14308,28541,5263,39590,408,"New York-Newark, NY-NJ-CT-PA",36081
Richmond,14292,721,5255,2371,408,"New York-Newark, NY-NJ-CT-PA",36085
Rockland,2259,1993,1452,2072,408,"New York-Newark, NY-NJ-CT-PA",36087
Suffolk,26244,4235,9408,1876,408,"New York-Newark, NY-NJ-CT-PA",36103
Sullivan,4538,424,2498,159,408,"New York-Newark, NY-NJ-CT-PA",36105
Ulster,5097,648,1760,1158,408,"New York-Newark, NY-NJ-CT-PA",36111
Westchester,8036,5884,2794,4655,408,"New York-Newark, NY-NJ-CT-PA",36119
Bryan,528,569,813,82,206,"Dallas-Fort Worth, TX-OK",40013
Berks,11622,1799,3646,644,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42011
Bucks,15259,3285,7120,909,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42017
Chester,21725,1852,9790,2441,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42029
Delaware,5995,1913,3339,422,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42045
Franklin,6615,977,3353,697,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",42055
Montgomery,18168,4305,9721,4188,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42091
Philadelphia,2472,11447,7915,16462,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",42101
Bristol,658,104,417,25,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44001
Kent,2573,770,1170,234,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44003
Newport,1866,249,1242,140,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44005
Providence,6710,1529,3080,415,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44007
Washington,4693,661,2591,327,148,"Boston-Worcester-Providence, MA-RI-NH-CT",44009
Austin,417,6,263,14,288,"Houston-The Woodlands, TX",48015
Brazoria,23344,3823,22064,3631,288,"Houston-The Woodlands, TX",48039
Chambers,3237,0,3137,152,288,"Houston-The Woodlands, TX",48071
Collin,81521,11679,60691,30310,206,"Dallas-Fort Worth, TX-OK",48085
Cooke,431,160,377,0,206,"Dallas-Fort Worth, TX-OK",48097
Dallas,71741,43173,38232,94481,206,"Dallas-Fort Worth, TX-OK",48113
Denton,32918,9587,33421,12798,206,"Dallas-Fort Worth, TX-OK",48121
Ellis,9575,1166,9489,883,206,"Dallas-Fort Worth, TX-OK",48139
Fort Bend,27279,3409,69947,4402,288,"Houston-The Woodlands, TX",48157
Galveston,21718,1933,19515,1414,288,"Houston-The Woodlands, TX",48167
Grayson,2761,672,2365,977,206,"Dallas-Fort Worth, TX-OK",48181
Harris,206795,84105,148981,103081,288,"Houston-The Woodlands, TX",48201
Henderson,1036,73,676,70,206,"Dallas-Fort Worth, TX-OK",48213
Hood,677,33,1136,199,206,"Dallas-Fort Worth, TX-OK",48221
Hopkins,380,0,132,168,206,"Dallas-Fort Worth, TX-OK",48223
Hunt,921,548,774,169,206,"Dallas-Fort Worth, TX-OK",48231
Johnson,7366,219,5884,1342,206,"Dallas-Fort Worth, TX-OK",48251
Kaufman,4409,647,2976,730,206,"Dallas-Fort Worth, TX-OK",48257
Liberty,2012,0,2876,76,288,"Houston-The Woodlands, TX",48291
Matagorda,859,92,1018,12,288,"Houston-The Woodlands, TX",48321
Montgomery,43394,7180,40358,10187,288,"Houston-The Woodlands, TX",48339
Navarro,374,72,683,108,206,"Dallas-Fort Worth, TX-OK",48349
Palo Pinto,73,0,84,80,206,"Dallas-Fort Worth, TX-OK",48363
Parker,3182,281,3206,279,206,"Dallas-Fort Worth, TX-OK",48367
Rockwall,9968,441,8063,984,206,"Dallas-Fort Worth, TX-OK",48397
Somervell,246,49,154,18,206,"Dallas-Fort Worth, TX-OK",48425
Tarrant,99719,22914,53686,31277,206,"Dallas-Fort Worth, TX-OK",48439
Trinity,1,0,30,0,288,"Houston-The Woodlands, TX",48455
Walker,734,1472,1081,802,288,"Houston-The Woodlands, TX",48471
Waller,393,1363,103,948,288,"Houston-The Woodlands, TX",48473
Washington,403,276,652,245,288,"Houston-The Woodlands, TX",48477
Wharton,274,120,418,0,288,"Houston-The Woodlands, TX",48481
Wise,1034,9,543,4,206,"Dallas-Fort Worth, TX-OK",48497
Arlington,980,8405,2156,13208,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51013
Clarke,987,0,345,3,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51043
Culpeper,6538,276,1582,132,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51047
Fairfax,21375,15301,8453,7455,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51059
Fauquier,4971,321,2107,30,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51061
Frederick,6553,136,4014,397,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51069
Loudoun,34703,7253,24463,8112,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51107
Prince William,33724,4852,14822,3881,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51153
Rappahannock,462,0,220,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51157
Spotsylvania,11165,853,3427,270,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51177
Stafford,10221,1771,7728,6,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51179
Warren,2543,0,980,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51187
Alexandria,1785,5224,1300,5137,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51510
Fairfax,436,96,507,126,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51600
Falls Church,78,0,203,510,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51610
Fredericksburg,1221,0,741,1070,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51630
Manassas,1016,0,847,199,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51683
Manassas Park,528,461,48,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51685
Winchester,940,309,207,220,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",51840
Island,4821,375,2618,5,500,"Seattle-Tacoma, WA",53029
King,47454,48119,38085,81191,500,"Seattle-Tacoma, WA",53033
Kitsap,9957,564,6678,1216,500,"Seattle-Tacoma, WA",53035
Lewis,2737,221,1483,278,500,"Seattle-Tacoma, WA",53041
Mason,3844,24,1519,18,500,"Seattle-Tacoma, WA",53045
Pierce,36853,8178,21477,8264,500,"Seattle-Tacoma, WA",53053
Skagit,6047,825,3250,256,500,"Seattle-Tacoma, WA",53057
Snohomish,36748,8662,22128,10023,500,"Seattle-Tacoma, WA",53061
Thurston,15316,1941,10067,2267,500,"Seattle-Tacoma, WA",53067
Berkeley,10854,625,5717,380,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54003
Hampshire,1555,4,625,0,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54027
Jefferson,4498,417,1895,100,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",54037
Kenosha,5976,2529,1758,895,176,"Chicago-Naperville, IL-IN-WI",55059
Pierce,2690,221,954,88,378,"Minneapolis-St. Paul, MN-WI",55093
St. Croix,7717,997,2619,245,378,"Minneapolis-St. Paul, MN-WI",55109
